
organism_name
Hydra vulgaris
Actinia tenebrosa
Schistosoma mansoni
Schistosoma haematobium
Opisthorchis viverrini
Echinococcus granulosus
Caenorhabditis briggsae
Caenorhabditis elegans
Brugia malayi
Trichinella spiralis
Helobdella robusta
Haliotis rufescens
Aplysia californica
Biomphalaria glabrata
Crassostrea virginica
Mizuhopecten yessoensis
Pecten maximus
Mercenaria mercenaria
Daphnia pulex
Penaeus monodon
Penaeus vannamei
Homarus americanus
Procambarus clarkii
Limulus polyphemus
Rhipicephalus microplus
Ixodes scapularis
Dermatophagoides pteronyssinus
Acyrthosiphon pisum
Bemisia tabaci
Sitophilus oryzae
Photinus pyralis
Tribolium castaneum
Bombyx mori
Bombyx mandarina
Spodoptera frugiperda
Trichoplusia ni
Pieris brassicae
Manduca sexta
Galleria mellonella
Aedes aegypti
Aedes albopictus
Anopheles albimanus
Anopheles arabiensis
Culex quinquefasciatus
Loa loa
Ceratitis capitata
Drosophila ananassae
Drosophila erecta
Drosophila grimshawi
Drosophila hydei
Scaptodrosophila lebanonensis
Drosophila mauritiana
Drosophila melanogaster
Drosophila miranda
Drosophila mojavensis
Drosophila navojoa
Drosophila persimilis
Drosophila pseudoobscura
Drosophila sechellia
Drosophila simulans
Drosophila subobscura
Drosophila teissieri
Drosophila virilis
Drosophila yakuba
Drosophila willistoni
Drosophila arizonae
Drosophila guanche
Drosophila serrata
Drosophila obscura
Drosophila albomicans
Musca domestica
Lucilia cuprina
Glossina fuscipes
Nasonia vitripennis
Vespa mandarinia
Apis mellifera
Apis cerana
Apis dorsata
Apis florea
Trichogramma pretiosum
Ctenocephalides felis
Leptinotarsa decemlineata
Lingula anatina
Asterias rubens
Lytechinus variegatus
Strongylocentrotus purpuratus
Ciona intestinalis
Styela clava
Branchiostoma floridae
Branchiostoma belcheri
Saccoglossus kowalevskii
Trichoplax adhaerens
Atta cephalotes
Myzus persicae
Lucilia sericata
Solenopsis invicta
Penaeus japonicus
Bactrocera dorsalis
Drosophila suzukii
Zeugodacus cucurbitae
Rhagoletis pomonella
Rhagoletis zephyria
Drosophila eugracilis
Drosophila takahashii
Copidosoma floridanum
Helicoverpa armigera
Crassostrea gigas
Drosophila busckii
Drosophila elegans
Drosophila ficusphila
Drosophila kikkawai
Anopheles merus
Anopheles stephensi
Bombus terrestris
Polistes fuscatus
Vespula pensylvanica
Caenorhabditis remanei
Venturia canescens
Tetranychus urticae
Cotesia glomerata
Zerene cesonia
Strongyloides ratti
Rhipicephalus sanguineus
Galendromus occidentalis
Trachymyrmex septentrionalis
Daphnia magna
Stomoxys calcitrans
Athalia rosae
Priapulus caudatus
Octopus bimaculoides
Bradysia coprophila
Pollicipes pollicipes
Coccinella septempunctata
Tribolium madens
Drosophila bipectinata
Culex pipiens pallens
Rhopalosiphum maidis
Acropora millepora
Nematostella vectensis
Patiria miniata
Pocillopora damicornis
Drosophila novamexicana
Orbicella faveolata
Diabrotica virgifera virgifera
Stylophora pistillata
Necator americanus
Plutella xylostella
Bactrocera tryoni
Varroa jacobsoni
Leptopilina heterotoma
Pieris rapae
Trachymyrmex zeteki
Wasmannia auropunctata
Fopius arisanus
Papilio xuthus
Microplitis demolitor
Spodoptera litura
Acropora digitifera
Lepeophtheirus salmonis
Colias croceus
Formica exsecta
Papilio machaon
Papilio polytes
Dendroctonus ponderosae
Cimex lectularius
Aphis gossypii
Linepithema humile
Eurytemora affinis
Polistes canadensis
Aricia agestis
Ostrinia furnacalis
Acromyrmex echinatior
Bombus bifarius
Camponotus floridanus
Bactrocera oleae
Cryptotermes secundus
Nilaparvata lugens
Varroa destructor
Nicrophorus vespilloides
Bicyclus anynana
Melitaea cinxia
Parasteatoda tepidariorum
Megalopta genalis
Harmonia axyridis
Pararge aegeria
Aethina tumida
Pediculus humanus corporis
Diaphorina citri
Drosophila biarmipes
Drosophila santomea
Bombus impatiens
Acanthaster planci
Frankliniella occidentalis
Zootermopsis nevadensis
Teleopsis dalmanni
Diuraphis noxia
Sipha flava
Megachile rotundata
Pogonomyrmex barbatus
Dendronephthya gigantea
Ceratina calcarata
Folsomia candida
Thrips palmi
Onthophagus taurus
Bactrocera latifrons
Dufourea novaeangliae
Anopheles gambiae str. PEST
Apis laboriosa
Chrysoperla carnea
Maniola jurtina
Ischnura elegans
Drosophila innubila
Stegodyphus dumicola
Bombus vosnesenskii
Portunus trituberculatus
Cephus cinctus
Anoplophora glabripennis
Centruroides sculpturatus
Pseudomyrmex gracilis
Orussus abietinus
Agrilus planipennis
Lottia gigantea
Contarinia nasturtii
Danaus plexippus plexippus
Halyomorpha halys
Hyalella azteca
Temnothorax curvispinosus
Monomorium pharaonis
Ceratosolen solmsi marchali
Vanessa tameamea
Hermetia illucens
Bombus pyrosoma
Amphimedon queenslandica
