
organism_name
Petromyzon marinus
Scyliorhinus canicula
Callorhinchus milii
Protopterus annectens
Latimeria chalumnae
Acipenser ruthenus
Polyodon spathula
Lepisosteus oculatus
Anguilla anguilla
Clupea harengus
Danio rerio
Carassius auratus
Cyprinus carpio
Astyanax mexicanus
Ictalurus punctatus
Electrophorus electricus
Esox lucius
Oncorhynchus gorbuscha
Oncorhynchus keta
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus nerka
Salmo salar
Salmo trutta
Salvelinus namaycush
Gadus morhua
Fundulus heteroclitus
Poecilia reticulata
Xiphophorus maculatus
Xiphophorus hellerii
Oryzias latipes
Cyclopterus lumpus
Oreochromis niloticus
Haplochromis burtoni
Astatotilapia calliptera
Perca flavescens
Perca fluviatilis
Sparus aurata
Acanthopagrus latus
Lates calcarifer
Notothenia coriiceps
Gymnodraco acuticeps
Thunnus albacares
Thunnus maccoyii
Xiphias gladius
Paralichthys olivaceus
Hippoglossus hippoglossus
Xenopus laevis
Xenopus tropicalis
Bufo bufo
Rana temporaria
Chelonia mydas
Chrysemys picta bellii
Alligator mississippiensis
Crocodylus porosus
Sceloporus undulatus
Zootoca vivipara
Notechis scutatus
Pseudonaja textilis
Dromaius novaehollandiae
Anas platyrhynchos
Cygnus atratus
Cygnus olor
Oxyura jamaicensis
Chaetura pelagica
Columba livia
Falco peregrinus
Haliaeetus albicilla
Numida meleagris
Centrocercus urophasianus
Gallus gallus
Gallus gallus
Phasianus colchicus
Meleagris gallopavo
Serinus canaria
Parus major
Passer montanus
Sturnus vulgaris
Phalacrocorax carbo
Aptenodytes forsteri
Pygoscelis adeliae
Calypte anna
Melopsittacus undulatus
Carcharodon carcharias
Pelodiscus sinensis
Erpetoichthys calabaricus
Micropterus salmoides
Dermochelys coriacea
Anolis carolinensis
Cyprinodon variegatus
Solea senegalensis
Chanos chanos
Bufo gargarizans
Lagopus leucura
Opisthocomus hoazin
Fulmarus glacialis
Nothoprocta perdicaria
Oryzias melastigma
Takifugu rubripes
Trachemys scripta elegans
Xiphophorus couchianus
Neolamprologus brichardi
Gambusia affinis
Alosa sapidissima
Morone saxatilis
Thamnophis elegans
Thamnophis sirtalis
Chiloscyllium plagiosum
Pelecanus crispus
Kryptolebias marmoratus
Gavia stellata
Alligator sinensis
Trematomus bernacchii
Seriola dumerili
Pygocentrus nattereri
