#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.			/#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.__cds_from_genomic.fna.gz
# assembly_accession	organism_name	species_taxid	ftp_path/# assembly_accession_asm_name_cds_from_genomic.fna.gz
GCF_000004095.1	Hydra vulgaris	6087	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/095/GCF_000004095.1_Hydra_RP_1.0/GCF_000004095.1_Hydra_RP_1.0_cds_from_genomic.fna.gz
GCF_009602425.1	Actinia tenebrosa	6105	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/602/425/GCF_009602425.1_ASM960242v1/GCF_009602425.1_ASM960242v1_cds_from_genomic.fna.gz
GCF_000237925.1	Schistosoma mansoni	6183	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/925/GCF_000237925.1_ASM23792v2/GCF_000237925.1_ASM23792v2_cds_from_genomic.fna.gz
GCF_000699445.2	Schistosoma haematobium	6185	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/445/GCF_000699445.2_SchHae_2.0/GCF_000699445.2_SchHae_2.0_cds_from_genomic.fna.gz
GCF_000715545.1	Opisthorchis viverrini	6198	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/715/545/GCF_000715545.1_OpiViv1.0/GCF_000715545.1_OpiViv1.0_cds_from_genomic.fna.gz
GCF_000524195.1	Echinococcus granulosus	6210	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/524/195/GCF_000524195.1_ASM52419v1/GCF_000524195.1_ASM52419v1_cds_from_genomic.fna.gz
GCF_000004555.2	Caenorhabditis briggsae	6238	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/555/GCF_000004555.2_CB4/GCF_000004555.2_CB4_cds_from_genomic.fna.gz
GCF_000002985.6	Caenorhabditis elegans	6239	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235/GCF_000002985.6_WBcel235_cds_from_genomic.fna.gz
GCF_000002995.4	Brugia malayi	6279	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/995/GCF_000002995.4_B_malayi-4.0/GCF_000002995.4_B_malayi-4.0_cds_from_genomic.fna.gz
GCF_000181795.1	Trichinella spiralis	6334	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/795/GCF_000181795.1_Trichinella_spiralis-3.7.1/GCF_000181795.1_Trichinella spiralis-3.7.1_cds_from_genomic.fna.gz
GCF_000326865.1	Helobdella robusta	6412	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/326/865/GCF_000326865.1_Helobdella_robusta_v1.0/GCF_000326865.1_Helobdella robusta v1.0_cds_from_genomic.fna.gz
