#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.			/#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.__cds_from_genomic.fna.gz
# assembly_accession	organism_name	species_taxid	ftp_path/# assembly_accession_asm_name_cds_from_genomic.fna.gz
GCF_000194455.1	Cryptomonas paramecium	2898	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/455/GCF_000194455.1_ASM19445v1/GCF_000194455.1_ASM19445v1_cds_from_genomic.fna.gz
GCF_900000015.1	Plasmopara halstedii	4781	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/000/015/GCF_900000015.1_Plasmopara_halstedii_genome/GCF_900000015.1_Plasmopara halstedii genome_cds_from_genomic.fna.gz
GCF_000227135.1	Leishmania donovani	5661	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/135/GCF_000227135.1_ASM22713v2/GCF_000227135.1_ASM22713v2_cds_from_genomic.fna.gz
GCF_000755165.1	Leishmania panamensis	5679	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/165/GCF_000755165.1_ASM75516v1/GCF_000755165.1_ASM75516v1_cds_from_genomic.fna.gz
GCF_003719475.1	Trypanosoma rangeli	5698	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/475/GCF_003719475.1_ASM371947v1/GCF_003719475.1_ASM371947v1_cds_from_genomic.fna.gz
GCF_000002435.2	Giardia intestinalis	5741	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/435/GCF_000002435.2_UU_WB_2.1/GCF_000002435.2_UU_WB_2.1_cds_from_genomic.fna.gz
GCF_000004985.1	Naegleria gruberi	5762	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/985/GCF_000004985.1_V1.0/GCF_000004985.1_V1.0_cds_from_genomic.fna.gz
GCF_008403515.1	Naegleria fowleri	5763	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/403/515/GCF_008403515.1_ASM840351v1/GCF_008403515.1_ASM840351v1_cds_from_genomic.fna.gz
GCF_000190715.1	Dictyostelium purpureum	5786	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/715/GCF_000190715.1_v1.0/GCF_000190715.1_v1.0_cds_from_genomic.fna.gz
GCF_000499425.1	Eimeria acervulina	5801	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/425/GCF_000499425.1_EAH001/GCF_000499425.1_EAH001_cds_from_genomic.fna.gz
GCF_000499545.2	Eimeria tenella	5802	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/545/GCF_000499545.2_ETH001/GCF_000499545.2_ETH001_cds_from_genomic.fna.gz
GCF_000499605.1	Eimeria maxima	5804	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/605/GCF_000499605.1_EMW001/GCF_000499605.1_EMW001_cds_from_genomic.fna.gz
GCF_900002375.2	Plasmodium berghei ANKA	5821	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/375/GCF_900002375.2_GCA_900002375/GCF_900002375.2_GCA_900002375_cds_from_genomic.fna.gz
GCF_900005855.1	Plasmodium gallinaceum	5849	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/005/855/GCF_900005855.1_PGAL8A/GCF_900005855.1_PGAL8A_cds_from_genomic.fna.gz
GCF_000006355.2	Plasmodium knowlesi strain H	5850	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/355/GCF_000006355.2_GCA_000006355.2/GCF_000006355.2_GCA_000006355.2_cds_from_genomic.fna.gz
GCF_001601855.1	Plasmodium reichenowi	5854	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/601/855/GCF_001601855.1_ASM160185v1/GCF_001601855.1_ASM160185v1_cds_from_genomic.fna.gz
GCF_000002415.2	Plasmodium vivax	5855	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/415/GCF_000002415.2_ASM241v2/GCF_000002415.2_ASM241v2_cds_from_genomic.fna.gz
GCF_000956335.1	Plasmodium fragile	5857	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/335/GCF_000956335.1_Plas_frag_nilgiri_V1/GCF_000956335.1_Plas_frag_nilgiri_V1_cds_from_genomic.fna.gz
GCF_900090045.1	Plasmodium malariae	5858	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/045/GCF_900090045.1_PmUG01/GCF_900090045.1_PmUG01_cds_from_genomic.fna.gz
GCF_900002385.2	Plasmodium yoelii	5861	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/385/GCF_900002385.2_GCA_900002385/GCF_900002385.2_GCA_900002385_cds_from_genomic.fna.gz
