#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.			/#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.__cds_from_genomic.fna.gz
# assembly_accession	organism_name	species_taxid	ftp_path/# assembly_accession_asm_name_cds_from_genomic.fna.gz
GCF_010993605.1	Petromyzon marinus	7757	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/993/605/GCF_010993605.1_kPetMar1.pri/GCF_010993605.1_kPetMar1.pri_cds_from_genomic.fna.gz
GCF_902713615.1	Scyliorhinus canicula	7830	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/713/615/GCF_902713615.1_sScyCan1.1/GCF_902713615.1_sScyCan1.1_cds_from_genomic.fna.gz
GCF_018977255.1	Callorhinchus milii	7868	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/977/255/GCF_018977255.1_IMCB_Cmil_1.0/GCF_018977255.1_IMCB_Cmil_1.0_cds_from_genomic.fna.gz
GCF_019279795.1	Protopterus annectens	7888	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/279/795/GCF_019279795.1_PAN1.0/GCF_019279795.1_PAN1.0_cds_from_genomic.fna.gz
GCF_000225785.1	Latimeria chalumnae	7897	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/785/GCF_000225785.1_LatCha1/GCF_000225785.1_LatCha1_cds_from_genomic.fna.gz
GCF_010645085.1	Acipenser ruthenus	7906	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/645/085/GCF_010645085.1_ASM1064508v1/GCF_010645085.1_ASM1064508v1_cds_from_genomic.fna.gz
GCF_017654505.1	Polyodon spathula	7913	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/654/505/GCF_017654505.1_ASM1765450v1/GCF_017654505.1_ASM1765450v1_cds_from_genomic.fna.gz
GCF_000242695.1	Lepisosteus oculatus	7918	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/695/GCF_000242695.1_LepOcu1/GCF_000242695.1_LepOcu1_cds_from_genomic.fna.gz
GCF_013347855.1	Anguilla anguilla	7936	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/347/855/GCF_013347855.1_fAngAng1.pri/GCF_013347855.1_fAngAng1.pri_cds_from_genomic.fna.gz
GCF_900700415.2	Clupea harengus	7950	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/700/415/GCF_900700415.2_Ch_v2.0.2/GCF_900700415.2_Ch_v2.0.2_cds_from_genomic.fna.gz
GCF_000002035.6	Danio rerio	7955	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.6_GRCz11/GCF_000002035.6_GRCz11_cds_from_genomic.fna.gz
GCF_003368295.1	Carassius auratus	7957	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/368/295/GCF_003368295.1_ASM336829v1/GCF_003368295.1_ASM336829v1_cds_from_genomic.fna.gz
GCF_018340385.1	Cyprinus carpio	7962	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/340/385/GCF_018340385.1_ASM1834038v1/GCF_018340385.1_ASM1834038v1_cds_from_genomic.fna.gz
GCF_000372685.2	Astyanax mexicanus	7994	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/685/GCF_000372685.2_Astyanax_mexicanus-2.0/GCF_000372685.2_Astyanax_mexicanus-2.0_cds_from_genomic.fna.gz
GCF_001660625.1	Ictalurus punctatus	7998	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/625/GCF_001660625.1_IpCoco_1.2/GCF_001660625.1_IpCoco_1.2_cds_from_genomic.fna.gz
GCF_013358815.1	Electrophorus electricus	8005	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/358/815/GCF_013358815.1_fEleEle1.pri/GCF_013358815.1_fEleEle1.pri_cds_from_genomic.fna.gz
GCF_011004845.1	Esox lucius	8010	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/004/845/GCF_011004845.1_fEsoLuc1.pri/GCF_011004845.1_fEsoLuc1.pri_cds_from_genomic.fna.gz
GCF_021184085.1	Oncorhynchus gorbuscha	8017	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/184/085/GCF_021184085.1_OgorEven_v1.0/GCF_021184085.1_OgorEven_v1.0_cds_from_genomic.fna.gz
GCF_012931545.1	Oncorhynchus keta	8018	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/931/545/GCF_012931545.1_Oket_V1/GCF_012931545.1_Oket_V1_cds_from_genomic.fna.gz
GCF_002021735.2	Oncorhynchus kisutch	8019	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/021/735/GCF_002021735.2_Okis_V2/GCF_002021735.2_Okis_V2_cds_from_genomic.fna.gz
GCF_013265735.2	Oncorhynchus mykiss	8022	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/265/735/GCF_013265735.2_USDA_OmykA_1.1/GCF_013265735.2_USDA_OmykA_1.1_cds_from_genomic.fna.gz
GCF_006149115.1	Oncorhynchus nerka	8023	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/149/115/GCF_006149115.1_Oner_1.0/GCF_006149115.1_Oner_1.0_cds_from_genomic.fna.gz
GCF_905237065.1	Salmo salar	8030	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/905/237/065/GCF_905237065.1_Ssal_v3.1/GCF_905237065.1_Ssal_v3.1_cds_from_genomic.fna.gz
