
organism_name
Absidia glauca
Rhizomucor pusillus
Rhizopus stolonifer
Gigaspora margarita
Gigaspora margarita
Capniomyces stellatus
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces pombe
Schizosaccharomyces japonicus
Cyberlindnera jadinii
Cyberlindnera jadinii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Pichia kudriavzevii
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Kluyveromyces marxianus
Millerozyma farinosa
Pichia norvegensis
Pichia norvegensis
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Komagataella pastoris
Ogataea pini
Scheffersomyces stipitis
Pichia membranifaciens
Wickerhamomyces anomalus
Wickerhamomyces anomalus
Wickerhamomyces anomalus
Wickerhamomyces anomalus
Wickerhamomyces anomalus
Wickerhamomyces anomalus
Wickerhamomyces anomalus
Wickerhamomyces anomalus
Meyerozyma guilliermondii
Meyerozyma guilliermondii
Meyerozyma guilliermondii
Meyerozyma guilliermondii
Meyerozyma guilliermondii
Meyerozyma guilliermondii
Meyerozyma guilliermondii
Saccharomyces bayanus
Saccharomyces bayanus
Saccharomyces bayanus
Saccharomyces bayanus
Saccharomyces bayanus
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
Saccharomyces cerevisiae
