
organism_name
Ephydatia muelleri
Halichondria panicea
Hydra viridissima
Hydra viridissima
Hydra vulgaris
Hydra vulgaris
Hydra oligactis
Actinia tenebrosa
Actinia equina
Stichodactyla helianthus
Renilla reniformis
Aurelia aurita
Chrysaora quinquecirrha
Chrysaora quinquecirrha
Dugesia japonica
Girardia tigrina
Schistosoma japonicum
Schistosoma japonicum
Schistosoma japonicum
Schistosoma mansoni
Schistosoma bovis
Schistosoma haematobium
Schistosoma curassoni
Schistosoma curassoni
Fasciola hepatica
Fasciola hepatica
Fasciola hepatica
Fasciola hepatica
Opisthorchis viverrini
Opisthorchis viverrini
Taenia solium
Taenia solium
Taenia solium
Hydatigera taeniaeformis
Taenia saginata
Echinococcus granulosus
Echinococcus granulosus
Echinococcus multilocularis
Echinococcus oligarthrus
Hymenolepis diminuta
Hymenolepis diminuta
Hymenolepis diminuta
Panagrellus redivivus
Caenorhabditis briggsae
Caenorhabditis briggsae
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Caenorhabditis elegans
Strongyloides stercoralis
Ascaris lumbricoides
Ascaris suum
Ascaris suum
Ascaris suum
Ascaris suum
Parascaris univalens
Parascaris univalens
Toxocara canis
Toxocara canis
Toxocara canis
Anisakis simplex
Anisakis simplex
Acanthocheilonema viteae
Brugia malayi
Brugia pahangi
Brugia pahangi
Brugia pahangi
Onchocerca volvulus
Onchocerca volvulus
Dirofilaria immitis
Dirofilaria immitis
Dirofilaria immitis
Haemonchus contortus
Haemonchus contortus
Haemonchus contortus
Haemonchus placei
Wuchereria bancrofti
Wuchereria bancrofti
Wuchereria bancrofti
Wuchereria bancrofti
Meloidogyne javanica
Meloidogyne javanica
Meloidogyne arenaria
Meloidogyne arenaria
Meloidogyne arenaria
Meloidogyne arenaria
Meloidogyne hapla
Meloidogyne incognita
Meloidogyne incognita
Meloidogyne incognita
Meloidogyne incognita
Angiostrongylus cantonensis
Angiostrongylus cantonensis
Angiostrongylus cantonensis
Bursaphelenchus xylophilus
Bursaphelenchus xylophilus
Bursaphelenchus xylophilus
Bursaphelenchus xylophilus
Bursaphelenchus xylophilus
Bursaphelenchus xylophilus
Trichinella spiralis
Trichinella spiralis
Trichinella spiralis
Trichinella spiralis
Trichinella spiralis
Trichinella spiralis
Trichinella nativa
Trichinella nativa
Trichinella nelsoni
Trichinella pseudospiralis
Trichinella pseudospiralis
Trichinella pseudospiralis
Trichinella pseudospiralis
Trichinella pseudospiralis
Trichinella pseudospiralis
Heligmosomoides polygyrus
Owenia fusiformis
Eisenia fetida
Eisenia fetida
Helobdella robusta
Hirudo medicinalis
Hirudo medicinalis
Haliotis rufescens
Haliotis cracherodii
Haliotis cracherodii
Aplysia californica
Lymnaea stagnalis
Biomphalaria glabrata
Biomphalaria glabrata
Biomphalaria glabrata
Biomphalaria glabrata
Mytilus californianus
Mytilus californianus
Mytilus edulis
Mytilus edulis
Crassostrea virginica
Mizuhopecten yessoensis
Pecten maximus
Pecten maximus
Pecten maximus
Mercenaria mercenaria
Mercenaria mercenaria
Mya arenaria
Euprymna scolopes
Watasenia scintillans
Octopus vulgaris
Artemia franciscana
Daphnia pulex
Daphnia pulex
Daphnia pulex
Daphnia pulex
Penaeus monodon
Penaeus monodon
Penaeus monodon
Penaeus monodon
Penaeus vannamei
Penaeus vannamei
Homarus americanus
Cherax destructor
Procambarus clarkii
Paralithodes camtschaticus
Callinectes sapidus
Tigriopus californicus
Calanus finmarchicus
Carcinoscorpius rotundicauda
Carcinoscorpius rotundicauda
Limulus polyphemus
Tachypleus gigas
Tachypleus tridentatus
Tachypleus tridentatus
Tachypleus tridentatus
Tachypleus tridentatus
Androctonus mauritanicus
Loxosceles reclusa
Ornithodoros moubata
Ornithodoros moubata
Ornithodoros moubata
Ornithodoros moubata
Ornithodoros moubata
Ornithodoros moubata
Ornithodoros moubata
Ornithodoros moubata
Ornithodoros moubata
Ornithodoros moubata
Rhipicephalus microplus
Rhipicephalus microplus
Rhipicephalus microplus
Rhipicephalus microplus
Ixodes scapularis
Ixodes scapularis
Ixodes scapularis
Dermatophagoides farinae
Dermatophagoides farinae
Dermatophagoides farinae
Dermatophagoides pteronyssinus
Dermatophagoides pteronyssinus
Euroglyphus maynei
Blattella germanica
Blattella germanica
Periplaneta americana
Acheta domesticus
Gryllus bimaculatus
Locusta migratoria
Schistocerca americana
Acyrthosiphon pisum
Acyrthosiphon pisum
Bemisia tabaci
Bemisia tabaci
Bemisia tabaci
Bemisia tabaci
Bemisia tabaci
Bemisia tabaci
Bemisia tabaci
Bemisia tabaci
Bemisia tabaci
Sitophilus oryzae
Photinus pyralis
Popillia japonica
Tenebrio molitor
Tribolium castaneum
Tribolium confusum
Adalia bipunctata
Adalia bipunctata
Bombyx mori
Bombyx mori
Bombyx mori
Bombyx mori
Bombyx mori
Bombyx mandarina
Heliothis virescens
Spodoptera exigua
Spodoptera exigua
Spodoptera exigua
Spodoptera frugiperda
Spodoptera frugiperda
Spodoptera frugiperda
Spodoptera frugiperda
Spodoptera frugiperda
Spodoptera frugiperda
Spodoptera frugiperda
Spodoptera frugiperda
Trichoplusia ni
Trichoplusia ni
Trichoplusia ni
Trichoplusia ni
Helicoverpa zea
Pieris brassicae
Pieris brassicae
Antheraea pernyi
Manduca sexta
Manduca sexta
Galleria mellonella
Galleria mellonella
Galleria mellonella
Papilio polyxenes
Chironomus tentans
Aedes aegypti
Aedes aegypti
Aedes aegypti
Aedes aegypti
Aedes aegypti
Aedes albopictus
Aedes albopictus
Aedes albopictus
Aedes albopictus
Aedes albopictus
Aedes albopictus
Anopheles gambiae
Anopheles gambiae
Anopheles gambiae
Anopheles albimanus
Anopheles albimanus
Anopheles albimanus
Anopheles albimanus
Anopheles dirus
Anopheles arabiensis
Anopheles arabiensis
Culex quinquefasciatus
Culex quinquefasciatus
Culex quinquefasciatus
Lutzomyia longipalpis
Loa loa
Loa loa
Ceratitis capitata
Ceratitis capitata
Drosophila ambigua
Drosophila ananassae
Drosophila ananassae
Drosophila ananassae
Drosophila ananassae
Drosophila bifasciata
Drosophila erecta
Drosophila erecta
Drosophila erecta
Drosophila funebris
Drosophila grimshawi
Drosophila grimshawi
Drosophila hydei
Drosophila hydei
Scaptodrosophila lebanonensis
Scaptodrosophila lebanonensis
Drosophila mauritiana
Drosophila mauritiana
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila melanogaster
Drosophila miranda
Drosophila miranda
Drosophila miranda
Drosophila mojavensis
Drosophila mojavensis
Drosophila navojoa
Drosophila orena
Drosophila persimilis
Drosophila persimilis
Drosophila persimilis
Drosophila persimilis
Drosophila pseudoobscura
Drosophila pseudoobscura
Drosophila pseudoobscura
Drosophila pseudoobscura
Drosophila sechellia
Drosophila sechellia
Drosophila sechellia
Drosophila sechellia
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
Drosophila simulans
