
organism_name
Cyanophora paradoxa
Skeletonema costatum
Cylindrotheca fusiformis
Ectocarpus siliculosus
Cryptomonas paramecium
Symbiodinium microadriaticum
Symbiodinium microadriaticum
Symbiodinium microadriaticum
Symbiodinium pilosum
Amphidinium carterae
Ochromonas danica
Hydrurus foetidus
Euglena gracilis
Bremia lactucae
Plasmopara halstedii
Plasmopara halstedii
Plasmopara halstedii
Plasmopara halstedii
Plasmopara halstedii
Phytophthora capsici
Phytophthora capsici
Phytophthora capsici
Phytophthora capsici
Phytophthora capsici
Phytophthora capsici
Phytophthora capsici
Phytophthora capsici
Phytophthora capsici
Phytophthora capsici
Phytophthora cinnamomi
Phytophthora cinnamomi
Phytophthora cinnamomi
Phytophthora cinnamomi
Phytophthora cinnamomi
Phytophthora cryptogea
Phytophthora infestans
Phytophthora infestans
Phytophthora infestans
Phytophthora infestans
Phytophthora nicotianae
Phytophthora nicotianae
Phytophthora nicotianae
Phytophthora nicotianae
Phytophthora parasitica
Phytophthora parasitica
Phytophthora parasitica
Phytophthora parasitica
Phytophthora megakarya
Phytophthora palmivora
Phytophthora palmivora
Lagenidium giganteum
Lagenidium giganteum
Crithidia fasciculata
Strigomonas oncopelti
Leishmania amazonensis
Leishmania amazonensis
Leishmania amazonensis
Leishmania braziliensis
Leishmania braziliensis
Leishmania donovani
Leishmania donovani
Leishmania donovani
Leishmania donovani
Leishmania donovani
Leishmania donovani
Leishmania donovani
Leishmania donovani
Leishmania donovani
Leishmania enriettii
Leishmania enriettii
Leishmania major
Leishmania mexicana
Leishmania tropica
Leishmania tropica
Leishmania tropica
Leishmania tropica
Leishmania aethiopica
Leishmania guyanensis
Leishmania guyanensis
Leishmania infantum
Leishmania infantum
Leishmania infantum
Leishmania infantum
Leishmania infantum
Leishmania adleri
Leishmania lainsoni
Leishmania panamensis
Leishmania peruviana
Leishmania peruviana
Leptomonas seymouri
Leishmania tarentolae
Leishmania tarentolae
Trypanosoma brucei
Trypanosoma congolense
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma cruzi
Trypanosoma equiperdum
Trypanosoma evansi
Trypanosoma rangeli
Trypanosoma vivax
Trypanosoma vivax
Trypanosoma brucei brucei
Endotrypanum monterogeii
Endotrypanum monterogeii
Herpetomonas muscarum
Trichomonas vaginalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia intestinalis
Giardia muris
Acanthamoeba castellanii
Acanthamoeba castellanii
Acanthamoeba castellanii
Acanthamoeba castellanii
Acanthamoeba castellanii
Acanthamoeba polyphaga
Acanthamoeba polyphaga
Entamoeba histolytica
Entamoeba histolytica
Naegleria gruberi
Naegleria fowleri
Naegleria fowleri
Naegleria fowleri
Naegleria fowleri
Naegleria fowleri
Vermamoeba vermiformis
Dictyostelium purpureum
Dictyostelium purpureum
Physarum polycephalum
Eimeria acervulina
Eimeria tenella
Eimeria tenella
Eimeria tenella
Eimeria maxima
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Cryptosporidium parvum
Toxoplasma gondii
Toxoplasma gondii
Toxoplasma gondii
Toxoplasma gondii
Toxoplasma gondii
Toxoplasma gondii
Toxoplasma gondii
Toxoplasma gondii
Toxoplasma gondii
Toxoplasma gondii
Plasmodium berghei
