
organism_name
Lethenteron reissneri
Petromyzon marinus
Petromyzon marinus
Petromyzon marinus
Petromyzon marinus
Eptatretus burgeri
Leucoraja erinacea
Scyliorhinus canicula
Scyliorhinus canicula
Callorhinchus milii
Callorhinchus milii
Protopterus annectens
Neoceratodus forsteri
Latimeria chalumnae
Latimeria chalumnae
Acipenser transmontanus
Acipenser ruthenus
Acipenser ruthenus
Acipenser ruthenus
Acipenser ruthenus
Polyodon spathula
Polyodon spathula
Atractosteus spatula
Lepisosteus oculatus
Amia calva
Amia calva
Megalops atlanticus
Anguilla anguilla
Anguilla anguilla
Anguilla anguilla
Anguilla anguilla
Anguilla japonica
Anguilla japonica
Anguilla japonica
Anguilla japonica
Anguilla japonica
Anguilla japonica
Anguilla rostrata
Anguilla rostrata
Anguilla marmorata
Clupea harengus
Clupea harengus
Clupea harengus
Clupea harengus
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Carassius auratus
Carassius auratus
Carassius auratus
Carassius auratus
Ctenopharyngodon idella
Cyprinus carpio
Cyprinus carpio
Cyprinus carpio
Cyprinus carpio
Cyprinus carpio
Cyprinus carpio
Hypophthalmichthys nobilis
Hypophthalmichthys nobilis
Astyanax mexicanus
Astyanax mexicanus
Astyanax mexicanus
Ictalurus punctatus
Ictalurus punctatus
Electrophorus electricus
Electrophorus electricus
Electrophorus electricus
Esox lucius
Esox lucius
Esox lucius
Esox lucius
Esox lucius
Oncorhynchus gorbuscha
Oncorhynchus gorbuscha
Oncorhynchus keta
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus mykiss
Oncorhynchus mykiss
Oncorhynchus mykiss
Oncorhynchus nerka
Salmo salar
Salmo salar
Salmo salar
Salmo salar
Salmo trutta
Salvelinus namaycush
Gadus morhua
Gadus morhua
Gadus morhua
Gadus morhua
Gadus morhua
Gadus morhua
Melanogrammus aeglefinus
Melanogrammus aeglefinus
Merlangius merlangus
Pollachius virens
Merluccius merluccius
Lophius piscatorius
Lophius piscatorius
Fundulus heteroclitus
Fundulus heteroclitus
Poecilia reticulata
Poecilia reticulata
Xiphophorus maculatus
Xiphophorus maculatus
Xiphophorus hellerii
Xiphophorus hellerii
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Myoxocephalus scorpius
Cyclopterus lumpus
Cyclopterus lumpus
Cyclopterus lumpus
Sebastolobus altivelis
Julidochromis regani
Julidochromis regani
Oreochromis niloticus
Oreochromis niloticus
Oreochromis niloticus
Oreochromis niloticus
Coptodon rendalli
Oreochromis tanganicae
Oreochromis tanganicae
Tropheus annectens
Tropheus annectens
Tropheus brichardi
Tropheus brichardi
Tropheus duboisi
Tropheus duboisi
Tropheus moorii
Tropheus moorii
Tropheus moorii
Tropheus polli
Tropheus polli
Haplochromis burtoni
Haplochromis burtoni
Haplochromis burtoni
Haplochromis burtoni
Astatotilapia calliptera
Pseudosimochromis babaulti
Pseudosimochromis babaulti
Pseudosimochromis babaulti
Pseudosimochromis babaulti
Seriola quinqueradiata
Seriola quinqueradiata
Seriola quinqueradiata
Perca flavescens
Perca flavescens
Perca fluviatilis
Perca fluviatilis
Perca fluviatilis
Sparus aurata
Sparus aurata
Sparus aurata
Acanthopagrus latus
Acanthopagrus latus
Acanthopagrus latus
Acanthopagrus latus
Lates calcarifer
Lates calcarifer
Lates calcarifer
Lates calcarifer
Notothenia coriiceps
Gymnodraco acuticeps
Gymnodraco acuticeps
Euthynnus affinis
Thunnus albacares
Thunnus albacares
Thunnus albacares
Thunnus thynnus
Thunnus orientalis
Thunnus orientalis
Thunnus orientalis
Thunnus maccoyii
Thunnus maccoyii
Xiphias gladius
Paralichthys olivaceus
Paralichthys olivaceus
Hippoglossus hippoglossus
Hippoglossus hippoglossus
Ambystoma mexicanum
Ambystoma mexicanum
Xenopus laevis
Xenopus laevis
Xenopus tropicalis
Xenopus tropicalis
Bufo bufo
Bufo bufo
Rhinella marina
Lithobates catesbeianus
Rana temporaria
Rana temporaria
Rana temporaria
Glandirana rugosa
Scaphiopus holbrookii
Chelonia mydas
Chelonia mydas
Chelonia mydas
Chelydra serpentina
Chelydra serpentina
Chrysemys picta bellii
Chrysemys picta bellii
Alligator mississippiensis
Alligator mississippiensis
Alligator mississippiensis
Crocodylus porosus
Crocodylus porosus
Sphenodon punctatus
Sceloporus undulatus
Zootoca vivipara
Laticauda colubrina
Laticauda colubrina
Laticauda laticaudata
Notechis scutatus
Notechis scutatus
Ophiophagus hannah
Pseudonaja textilis
Pseudonaja textilis
Hydrophis cyanocinctus
Hydrophis cyanocinctus
Bothrops jararaca
Crotalus adamanteus
Crotalus viridis viridis
Hydrophis hardwickii
Casuarius casuarius
Casuarius casuarius
Dromaius novaehollandiae
Dromaius novaehollandiae
Dromaius novaehollandiae
Dromaius novaehollandiae
Dromaius novaehollandiae
Dromaius novaehollandiae
Rhea pennata
Rhea americana
Eudromia elegans
Eudromia elegans
Anomalopteryx didiformis
Anomalopteryx didiformis
Apteryx haastii
Apteryx owenii
Anas platyrhynchos
Anas platyrhynchos
Anas platyrhynchos
Anas platyrhynchos
Anas platyrhynchos
Anas platyrhynchos
Anas platyrhynchos
Anas platyrhynchos
Anas platyrhynchos platyrhynchos
Anser cygnoides
Anser cygnoides
Anser indicus
Anseranas semipalmata
Branta canadensis
Cairina moschata
Cygnus atratus
Cygnus atratus
Cygnus atratus
Cygnus atratus
Cygnus atratus
Cygnus atratus
Cygnus atratus
Cygnus atratus
Cygnus atratus
Cygnus atratus
Cygnus olor
Cygnus olor
Oxyura jamaicensis
Apus apus
Apus apus
Chaetura pelagica
Podargus strigoides
Columba livia
Columba livia
Geococcyx californianus
Falco peregrinus
Falco peregrinus
Falco peregrinus
Accipiter gentilis
Haliaeetus albicilla
Haliaeetus albicilla
Haliaeetus albicilla
Numida meleagris
Numida meleagris
Centrocercus urophasianus
Callipepla squamata
Colinus virginianus
Colinus virginianus
Colinus virginianus
Gallus gallus
Gallus gallus
Gallus gallus
Gallus gallus
Lophura nycthemera
Pavo cristatus
Pavo cristatus
Pavo muticus
Phasianus colchicus
Phasianus colchicus
Syrmaticus mikado
Alectoris rufa
Bambusicola thoracicus
Chrysolophus pictus
Crossoptilon mantchuricum
Meleagris gallopavo
Meleagris gallopavo
Grus americana
Fulica atra
Gymnorhina tibicen
Serinus canaria
Serinus canaria
Parus major
Passer montanus
Pitta sordida
Sturnus vulgaris
Pomatostomus ruficeps
Agelaius tricolor
Phalacrocorax carbo
Phoenicopterus ruber ruber
Phoenicopterus ruber ruber
Phoenicopterus ruber ruber
Ara ararauna
Psittacula krameri
Aptenodytes forsteri
Aptenodytes patagonicus
Pygoscelis adeliae
Pygoscelis adeliae
Pygoscelis adeliae
Spheniscus humboldti
Spheniscus humboldti
Spheniscus humboldti
Calypte anna
Calypte anna
Calypte anna
Calypte anna
Podilymbus podiceps
Amazona aestiva
Amazona aestiva
