Lethenteron reissneri
Petromyzon marinus
Scyliorhinus canicula
Protopterus annectens
Neoceratodus forsteri
Acipenser ruthenus
Acipenser ruthenus
Polyodon spathula
Lepisosteus oculatus
Amia calva
Megalops atlanticus
Anguilla anguilla
Anguilla anguilla
Anguilla rostrata
Clupea harengus
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Danio rerio
Carassius auratus
Carassius auratus
Ctenopharyngodon idella
Cyprinus carpio
Cyprinus carpio
Hypophthalmichthys nobilis
Astyanax mexicanus
Astyanax mexicanus
Ictalurus punctatus
Ictalurus punctatus
Electrophorus electricus
Esox lucius
Esox lucius
Esox lucius
Oncorhynchus gorbuscha
Oncorhynchus gorbuscha
Oncorhynchus keta
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus mykiss
Oncorhynchus mykiss
Oncorhynchus nerka
Salmo salar
Salmo salar
Salmo salar
Salmo trutta
Salvelinus namaycush
Gadus morhua
Gadus morhua
Fundulus heteroclitus
Poecilia reticulata
Poecilia reticulata
Xiphophorus maculatus
Xiphophorus hellerii
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Oryzias latipes
Cyclopterus lumpus
Oreochromis niloticus
Oreochromis niloticus
Oreochromis niloticus
Astatotilapia calliptera
Perca flavescens
Perca fluviatilis
Sparus aurata
Sparus aurata
Acanthopagrus latus
Acanthopagrus latus
Acanthopagrus latus
Thunnus albacares
Thunnus maccoyii
Xiphias gladius
Paralichthys olivaceus
Hippoglossus hippoglossus
Ambystoma mexicanum
Xenopus laevis
Xenopus laevis
Xenopus tropicalis
Xenopus tropicalis
Bufo bufo
Rana temporaria
Chelonia mydas
Chrysemys picta bellii
Sceloporus undulatus
Zootoca vivipara
Hydrophis cyanocinctus
Crotalus viridis viridis
Dromaius novaehollandiae
Anas platyrhynchos
Anas platyrhynchos
Anas platyrhynchos
Anas platyrhynchos
Anas platyrhynchos platyrhynchos
Cairina moschata
Cygnus olor
Oxyura jamaicensis
Apus apus
Columba livia
Falco peregrinus
Numida meleagris
Gallus gallus
Gallus gallus
Gallus gallus
Gallus gallus
Meleagris gallopavo
Meleagris gallopavo
Parus major
Phoenicopterus ruber ruber
Calypte anna
Amazona aestiva
Melopsittacus undulatus
Carcharodon carcharias
Istiophorus platypterus
Erpetoichthys calabaricus
Gobio gobio
Micropterus salmoides
Dermochelys coriacea
Anolis carolinensis
Alca torda
Solea senegalensis
Chanos chanos
Bufo gargarizans
Pyxicephalus adspersus
Coloeus monedula
Oryzias melastigma
Takifugu rubripes
Takifugu rubripes
Trachemys scripta elegans
Xiphophorus couchianus
Gambusia affinis
Gymnogyps californianus
Alosa sapidissima
Alosa sapidissima
Tautogolabrus adspersus
Thamnophis elegans
Naja naja
Chiloscyllium plagiosum
Thymallus thymallus
Trachurus trachurus
Kryptolebias marmoratus
Erithacus rubecula
Agelaius phoeniceus
