Plasmopara halstedii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/000/015/GCF_900000015.1_Plasmopara_halstedii_genome/GCF_900000015.1_Plasmopara halstedii genome_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/000/015/GCF_900000015.1_Plasmopara_halstedii_genome/GCF_900000015.1_Plasmopara halstedii genome_cds_from_genomic.fna.gz
Leishmania donovani	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/135/GCF_000227135.1_ASM22713v2/GCF_000227135.1_ASM22713v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/135/GCF_000227135.1_ASM22713v2/GCF_000227135.1_ASM22713v2_cds_from_genomic.fna.gz
Leishmania panamensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/165/GCF_000755165.1_ASM75516v1/GCF_000755165.1_ASM75516v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/165/GCF_000755165.1_ASM75516v1/GCF_000755165.1_ASM75516v1_cds_from_genomic.fna.gz
Trypanosoma rangeli	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/475/GCF_003719475.1_ASM371947v1/GCF_003719475.1_ASM371947v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/475/GCF_003719475.1_ASM371947v1/GCF_003719475.1_ASM371947v1_cds_from_genomic.fna.gz
Giardia intestinalis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/435/GCF_000002435.2_UU_WB_2.1/GCF_000002435.2_UU_WB_2.1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/435/GCF_000002435.2_UU_WB_2.1/GCF_000002435.2_UU_WB_2.1_cds_from_genomic.fna.gz
Naegleria gruberi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/985/GCF_000004985.1_V1.0/GCF_000004985.1_V1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/985/GCF_000004985.1_V1.0/GCF_000004985.1_V1.0_cds_from_genomic.fna.gz
Naegleria fowleri	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/403/515/GCF_008403515.1_ASM840351v1/GCF_008403515.1_ASM840351v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/403/515/GCF_008403515.1_ASM840351v1/GCF_008403515.1_ASM840351v1_cds_from_genomic.fna.gz
Dictyostelium purpureum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/715/GCF_000190715.1_v1.0/GCF_000190715.1_v1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/715/GCF_000190715.1_v1.0/GCF_000190715.1_v1.0_cds_from_genomic.fna.gz
Eimeria acervulina	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/425/GCF_000499425.1_EAH001/GCF_000499425.1_EAH001_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/425/GCF_000499425.1_EAH001/GCF_000499425.1_EAH001_cds_from_genomic.fna.gz
Eimeria tenella	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/545/GCF_000499545.2_ETH001/GCF_000499545.2_ETH001_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/545/GCF_000499545.2_ETH001/GCF_000499545.2_ETH001_cds_from_genomic.fna.gz
Eimeria maxima	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/605/GCF_000499605.1_EMW001/GCF_000499605.1_EMW001_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/605/GCF_000499605.1_EMW001/GCF_000499605.1_EMW001_cds_from_genomic.fna.gz
Plasmodium berghei ANKA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/375/GCF_900002375.2_GCA_900002375/GCF_900002375.2_GCA_900002375_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/375/GCF_900002375.2_GCA_900002375/GCF_900002375.2_GCA_900002375_cds_from_genomic.fna.gz
Plasmodium gallinaceum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/005/855/GCF_900005855.1_PGAL8A/GCF_900005855.1_PGAL8A_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/005/855/GCF_900005855.1_PGAL8A/GCF_900005855.1_PGAL8A_cds_from_genomic.fna.gz
Plasmodium knowlesi strain H	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/355/GCF_000006355.2_GCA_000006355.2/GCF_000006355.2_GCA_000006355.2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/355/GCF_000006355.2_GCA_000006355.2/GCF_000006355.2_GCA_000006355.2_cds_from_genomic.fna.gz
Plasmodium reichenowi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/601/855/GCF_001601855.1_ASM160185v1/GCF_001601855.1_ASM160185v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/601/855/GCF_001601855.1_ASM160185v1/GCF_001601855.1_ASM160185v1_cds_from_genomic.fna.gz
Plasmodium vivax	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/415/GCF_000002415.2_ASM241v2/GCF_000002415.2_ASM241v2_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/415/GCF_000002415.2_ASM241v2/GCF_000002415.2_ASM241v2_cds_from_genomic.fna.gz
Plasmodium fragile	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/335/GCF_000956335.1_Plas_frag_nilgiri_V1/GCF_000956335.1_Plas_frag_nilgiri_V1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/335/GCF_000956335.1_Plas_frag_nilgiri_V1/GCF_000956335.1_Plas_frag_nilgiri_V1_cds_from_genomic.fna.gz
Plasmodium malariae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/045/GCF_900090045.1_PmUG01/GCF_900090045.1_PmUG01_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/045/GCF_900090045.1_PmUG01/GCF_900090045.1_PmUG01_cds_from_genomic.fna.gz
Plasmodium yoelii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/385/GCF_900002385.2_GCA_900002385/GCF_900002385.2_GCA_900002385_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/385/GCF_900002385.2_GCA_900002385/GCF_900002385.2_GCA_900002385_cds_from_genomic.fna.gz
Babesia bigemina	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/445/GCF_000981445.1_Bbig001/GCF_000981445.1_Bbig001_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/445/GCF_000981445.1_Bbig001/GCF_000981445.1_Bbig001_cds_from_genomic.fna.gz
Theileria annulata	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/225/GCF_000003225.4_ASM322v1/GCF_000003225.4_ASM322v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/225/GCF_000003225.4_ASM322v1/GCF_000003225.4_ASM322v1_cds_from_genomic.fna.gz
Ichthyophthirius multifiliis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/395/GCF_000220395.1_JCVI-IMG1-V.1/GCF_000220395.1_JCVI-IMG1-V.1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/395/GCF_000220395.1_JCVI-IMG1-V.1/GCF_000220395.1_JCVI-IMG1-V.1_cds_from_genomic.fna.gz
Blastocystis hominis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/665/GCF_000151665.1_ASM15166v1/GCF_000151665.1_ASM15166v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/665/GCF_000151665.1_ASM15166v1/GCF_000151665.1_ASM15166v1_cds_from_genomic.fna.gz
Plasmodium chabaudi chabaudi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/335/GCF_900002335.2_PCHAS01/GCF_900002335.2_PCHAS01_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/335/GCF_900002335.2_PCHAS01/GCF_900002335.2_PCHAS01_cds_from_genomic.fna.gz
Plasmodium falciparum 3D7	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/765/GCF_000002765.5_GCA_000002765/GCF_000002765.5_GCA_000002765_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/765/GCF_000002765.5_GCA_000002765/GCF_000002765.5_GCA_000002765_cds_from_genomic.fna.gz
Aureococcus anophagefferens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/865/GCF_000186865.1_v_1.0/GCF_000186865.1_v 1.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/865/GCF_000186865.1_v_1.0/GCF_000186865.1_v 1.0_cds_from_genomic.fna.gz
Eimeria mitis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/745/GCF_000499745.2_EMH001/GCF_000499745.2_EMH001_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/745/GCF_000499745.2_EMH001/GCF_000499745.2_EMH001_cds_from_genomic.fna.gz
Eimeria necatrix	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/385/GCF_000499385.1_ENH001/GCF_000499385.1_ENH001_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/385/GCF_000499385.1_ENH001/GCF_000499385.1_ENH001_cds_from_genomic.fna.gz
Naegleria lovaniensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/324/165/GCF_003324165.1_Nlova_2.1/GCF_003324165.1_Nlova_2.1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/324/165/GCF_003324165.1_Nlova_2.1/GCF_003324165.1_Nlova_2.1_cds_from_genomic.fna.gz
Plasmodium vinckei vinckei	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/681/995/GCF_900681995.1_PVVCY_v1/GCF_900681995.1_PVVCY_v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/681/995/GCF_900681995.1_PVVCY_v1/GCF_900681995.1_PVVCY_v1_cds_from_genomic.fna.gz
Trypanosoma theileri	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/087/225/GCF_002087225.1_Tth_v3/GCF_002087225.1_Tth v3_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/087/225/GCF_002087225.1_Tth_v3/GCF_002087225.1_Tth v3_cds_from_genomic.fna.gz
Phytophthora sojae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/755/GCF_000149755.1_P.sojae_V3.0/GCF_000149755.1_P.sojae V3.0_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/755/GCF_000149755.1_P.sojae_V3.0/GCF_000149755.1_P.sojae V3.0_cds_from_genomic.fna.gz
Trypanosoma grayi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/245/GCF_000691245.1_Tgr_V1/GCF_000691245.1_Tgr_V1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/245/GCF_000691245.1_Tgr_V1/GCF_000691245.1_Tgr_V1_cds_from_genomic.fna.gz
Plasmodium gonderi	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/705/GCF_002157705.1_Pgonderi_assembly01/GCF_002157705.1_Pgonderi_assembly01_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/705/GCF_002157705.1_Pgonderi_assembly01/GCF_002157705.1_Pgonderi_assembly01_cds_from_genomic.fna.gz
Trypanosoma conorhini	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/485/GCF_003719485.1_ASM371948v1/GCF_003719485.1_ASM371948v1_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/485/GCF_003719485.1_ASM371948v1/GCF_003719485.1_ASM371948v1_cds_from_genomic.fna.gz
Plasmodium relictum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/005/765/GCF_900005765.1_PRELSG/GCF_900005765.1_PRELSG_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/005/765/GCF_900005765.1_PRELSG/GCF_900005765.1_PRELSG_cds_from_genomic.fna.gz
Cyclospora cayetanensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/999/335/GCF_002999335.1_CcayRef3/GCF_002999335.1_CcayRef3_translated_cds.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/999/335/GCF_002999335.1_CcayRef3/GCF_002999335.1_CcayRef3_cds_from_genomic.fna.gz
