7757;Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Petromyzon;Petromyzon marinus
7830;Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;Scyliorhinus;Scyliorhinus canicula
7868;Eukaryota;Chordata;Chondrichthyes;Chimaeriformes;Callorhinchidae;Callorhinchus;Callorhinchus milii
7888;Eukaryota;Chordata;;Ceratodontiformes;Protopteridae;Protopterus;Protopterus annectens
7897;Eukaryota;Chordata;;Coelacanthiformes;Coelacanthidae;Latimeria;Latimeria chalumnae
7906;Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser ruthenus
7913;Eukaryota;Chordata;Actinopteri;Acipenseriformes;Polyodontidae;Polyodon;Polyodon spathula
7918;Eukaryota;Chordata;Actinopteri;Semionotiformes;Lepisosteidae;Lepisosteus;Lepisosteus oculatus
7936;Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla anguilla
7950;Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea harengus
7955;Eukaryota;Chordata;Actinopteri;Cypriniformes;Danionidae;Danio;Danio rerio
7957;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Carassius;Carassius auratus
7962;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus carpio
7994;Eukaryota;Chordata;Actinopteri;Characiformes;Characidae;Astyanax;Astyanax mexicanus
7998;Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ictalurus;Ictalurus punctatus
8005;Eukaryota;Chordata;Actinopteri;Gymnotiformes;Gymnotidae;Electrophorus;Electrophorus electricus
8010;Eukaryota;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
8017;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus gorbuscha
8018;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta
8019;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus kisutch
8022;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus mykiss
8023;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus nerka
8030;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar
8032;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo trutta
8040;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus;Salvelinus namaycush
8049;Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus morhua
8078;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus
8081;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Poecilia;Poecilia reticulata
8083;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Xiphophorus;Xiphophorus maculatus
8084;Eukaryota;Chordata;Actinopteri;Cyprinodontiformes;Poeciliidae;Xiphophorus;Xiphophorus hellerii
8090;Eukaryota;Chordata;Actinopteri;Beloniformes;Adrianichthyidae;Oryzias;Oryzias latipes
8103;Eukaryota;Chordata;Actinopteri;Perciformes;Cyclopteridae;Cyclopterus;Cyclopterus lumpus
8128;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Oreochromis;Oreochromis niloticus
8153;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Haplochromis;Haplochromis burtoni
8154;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Astatotilapia;Astatotilapia calliptera
8167;Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Perca;Perca flavescens
8168;Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Perca;Perca fluviatilis
8175;Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Sparus;Sparus aurata
8177;Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Acanthopagrus;Acanthopagrus latus
8187;Eukaryota;Chordata;Actinopteri;;Centropomidae;Lates;Lates calcarifer
8208;Eukaryota;Chordata;Actinopteri;Perciformes;Nototheniidae;Notothenia;Notothenia coriiceps
8218;Eukaryota;Chordata;Actinopteri;Perciformes;Bathydraconidae;Gymnodraco;Gymnodraco acuticeps
8236;Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus albacares
8240;Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus maccoyii
8245;Eukaryota;Chordata;Actinopteri;Istiophoriformes;Xiphiidae;Xiphias;Xiphias gladius
8255;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys olivaceus
8267;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hippoglossus;Hippoglossus hippoglossus
8355;Eukaryota;Chordata;Amphibia;Anura;Pipidae;Xenopus;Xenopus laevis
8364;Eukaryota;Chordata;Amphibia;Anura;Pipidae;Xenopus;Xenopus tropicalis
