6087;Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Hydridae;Hydra;Hydra vulgaris
6105;Eukaryota;Cnidaria;Anthozoa;Actiniaria;Actiniidae;Actinia;Actinia tenebrosa
6183;Eukaryota;Platyhelminthes;Trematoda;Strigeidida;Schistosomatidae;Schistosoma;Schistosoma mansoni
6185;Eukaryota;Platyhelminthes;Trematoda;Strigeidida;Schistosomatidae;Schistosoma;Schistosoma haematobium
6198;Eukaryota;Platyhelminthes;Trematoda;Opisthorchiida;Opisthorchiidae;Opisthorchis;Opisthorchis viverrini
6210;Eukaryota;Platyhelminthes;Cestoda;Cyclophyllidea;Taeniidae;Echinococcus;Echinococcus granulosus
6238;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Caenorhabditis;Caenorhabditis briggsae
6239;Eukaryota;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Caenorhabditis;Caenorhabditis elegans
6279;Eukaryota;Nematoda;Chromadorea;Rhabditida;Onchocercidae;Brugia;Brugia malayi
6334;Eukaryota;Nematoda;Enoplea;Trichinellida;Trichinellidae;Trichinella;Trichinella spiralis
6412;Eukaryota;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;Helobdella;Helobdella robusta
6454;Eukaryota;Mollusca;Gastropoda;Lepetellida;Haliotidae;Haliotis;Haliotis rufescens
6500;Eukaryota;Mollusca;Gastropoda;Aplysiida;Aplysiidae;Aplysia;Aplysia californica
6526;Eukaryota;Mollusca;Gastropoda;;Planorbidae;Biomphalaria;Biomphalaria glabrata
6565;Eukaryota;Mollusca;Bivalvia;Ostreida;Ostreidae;Crassostrea;Crassostrea virginica
6573;Eukaryota;Mollusca;Bivalvia;Pectinida;Pectinidae;Mizuhopecten;Mizuhopecten yessoensis
6579;Eukaryota;Mollusca;Bivalvia;Pectinida;Pectinidae;Pecten;Pecten maximus
6596;Eukaryota;Mollusca;Bivalvia;Venerida;Veneridae;Mercenaria;Mercenaria mercenaria
6669;Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulex
6687;Eukaryota;Arthropoda;Malacostraca;Decapoda;Penaeidae;Penaeus;Penaeus monodon
6689;Eukaryota;Arthropoda;Malacostraca;Decapoda;Penaeidae;Penaeus;Penaeus vannamei
6706;Eukaryota;Arthropoda;Malacostraca;Decapoda;Nephropidae;Homarus;Homarus americanus
6728;Eukaryota;Arthropoda;Malacostraca;Decapoda;Cambaridae;Procambarus;Procambarus clarkii
6850;Eukaryota;Arthropoda;Merostomata;Xiphosura;Limulidae;Limulus;Limulus polyphemus
6941;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Rhipicephalus;Rhipicephalus microplus
6945;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Ixodes;Ixodes scapularis
6956;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Pyroglyphidae;Dermatophagoides;Dermatophagoides pteronyssinus
7029;Eukaryota;Arthropoda;Insecta;Hemiptera;Aphididae;Acyrthosiphon;Acyrthosiphon pisum
7038;Eukaryota;Arthropoda;Insecta;Hemiptera;Aleyrodidae;Bemisia;Bemisia tabaci
7048;Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Sitophilus;Sitophilus oryzae
7054;Eukaryota;Arthropoda;Insecta;Coleoptera;Lampyridae;Photinus;Photinus pyralis
7070;Eukaryota;Arthropoda;Insecta;Coleoptera;Tenebrionidae;Tribolium;Tribolium castaneum
7091;Eukaryota;Arthropoda;Insecta;Lepidoptera;Bombycidae;Bombyx;Bombyx mori
7092;Eukaryota;Arthropoda;Insecta;Lepidoptera;Bombycidae;Bombyx;Bombyx mandarina
7108;Eukaryota;Arthropoda;Insecta;Lepidoptera;Noctuidae;Spodoptera;Spodoptera frugiperda
7111;Eukaryota;Arthropoda;Insecta;Lepidoptera;Noctuidae;Trichoplusia;Trichoplusia ni
7116;Eukaryota;Arthropoda;Insecta;Lepidoptera;Pieridae;Pieris;Pieris brassicae
7130;Eukaryota;Arthropoda;Insecta;Lepidoptera;Sphingidae;Manduca;Manduca sexta
7137;Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Galleria;Galleria mellonella
7159;Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Aedes;Aedes aegypti
7160;Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Aedes;Aedes albopictus
7167;Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles albimanus
