#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.			/#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.__cds_from_genomic.fna.gz
# assembly_accession	organism_name	species_taxid	ftp_path/# assembly_accession_asm_name_cds_from_genomic.fna.gz
GCF_000317415.1	Citrus sinensis	2711	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/415/GCF_000317415.1_Csi_valencia_1.0/GCF_000317415.1_Csi_valencia_1.0_cds_from_genomic.fna.gz
GCF_000350225.1	Chondrus crispus	2769	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/225/GCF_000350225.1_ASM35022v2/GCF_000350225.1_ASM35022v2_cds_from_genomic.fna.gz
GCF_000002595.2	Chlamydomonas reinhardtii	3055	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/595/GCF_000002595.2_Chlamydomonas_reinhardtii_v5.5/GCF_000002595.2_Chlamydomonas_reinhardtii_v5.5_cds_from_genomic.fna.gz
GCF_000143455.1	Volvox carteri f. nagariensis	3067	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/455/GCF_000143455.1_v1.0/GCF_000143455.1_v1.0_cds_from_genomic.fna.gz
GCF_000733215.1	Auxenochlorella protothecoides	3075	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/733/215/GCF_000733215.1_ASM73321v1/GCF_000733215.1_ASM73321v1_cds_from_genomic.fna.gz
GCF_000002425.4	Physcomitrium patens	3218	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/425/GCF_000002425.4_Phypa_V3/GCF_000002425.4_Phypa V3_cds_from_genomic.fna.gz
GCF_003573695.1	Papaver somniferum	3469	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/573/695/GCF_003573695.1_ASM357369v1/GCF_003573695.1_ASM357369v1_cds_from_genomic.fna.gz
GCF_900626175.2	Cannabis sativa	3483	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/626/175/GCF_900626175.2_cs10/GCF_900626175.2_cs10_cds_from_genomic.fna.gz
GCF_000511025.2	Beta vulgaris subsp. vulgaris	161934	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/025/GCF_000511025.2_RefBeet-1.2.2/GCF_000511025.2_RefBeet-1.2.2_cds_from_genomic.fna.gz
GCF_002007265.1	Spinacia oleracea	3562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/265/GCF_002007265.1_ASM200726v1/GCF_002007265.1_ASM200726v1_cds_from_genomic.fna.gz
