prot1,prot2,BLASTidentity,S,N,dNdS,dN,dS
NC_045949.1_prot_XP_002041584.1_133,NC_052520.2_prot_XP_002077643.2_148,99.718,209.0,853.0,0.0210,0.0012,0.0559
NC_045949.1_prot_XP_002041601.1_153,NC_052520.2_prot_XP_016022938.2_173,99.925,1063.8,2956.2,0.0082,0.0003,0.0414
NC_045949.1_prot_XP_032583110.1_198,NC_052520.2_prot_XP_016022967.1_222,99.130,176.6,858.4,0.1549,0.0035,0.0228
NC_045949.1_prot_XP_002041670.1_228,NC_052520.2_prot_XP_002077716.1_254,99.666,159.0,738.0,0.0126,0.0014,0.1083
NC_045949.1_prot_XP_002041671.1_229,NC_052520.2_prot_XP_002077717.1_255,100.000,66.6,479.4,0.0010,0.0001,0.1064
NC_045949.1_prot_XP_002041719.1_299,NC_052520.2_prot_XP_044778249.1_333,100.000,119.5,708.5,0.0010,0.0001,0.1186
NC_045949.1_prot_XP_002041725.1_307,NC_052520.2_prot_XP_002077774.1_342,99.138,164.6,531.4,0.0896,0.0039,0.0431
NC_045949.1_prot_XP_002041727.1_309,NC_052520.2_prot_XP_002077776.1_344,99.180,134.9,597.1,0.0358,0.0034,0.0951
NC_045949.1_prot_XP_002037588.1_463,NC_052520.2_prot_XP_016023152.1_513,99.687,418.0,1499.0,0.0207,0.0014,0.0654
NC_045949.1_prot_XP_002037596.2_471,NC_052520.2_prot_XP_039147167.1_521,99.270,177.4,644.6,0.0413,0.0031,0.0753
NC_045949.1_prot_XP_002045312.1_668,NC_052520.2_prot_XP_016023291.1_730,99.779,668.9,2046.1,0.0196,0.0010,0.0503
NC_045949.1_prot_XP_002037808.1_821,NC_052520.2_prot_XP_002078115.1_896,99.662,681.7,1979.3,0.0538,0.0015,0.0286
NC_045949.1_prot_XP_002037809.2_822,NC_052520.2_prot_XP_016023414.1_897,100.000,157.7,493.3,0.0010,0.0001,0.0500
NC_045949.1_prot_XP_002037819.1_842,NC_052520.2_prot_XP_002078128.1_918,99.819,368.4,1287.6,0.0130,0.0008,0.0602
NC_045949.1_prot_XP_002037884.1_938,NC_052520.2_prot_XP_002078185.1_1032,99.693,240.9,737.1,0.0662,0.0014,0.0211
NC_045949.1_prot_XP_002037911.1_979,NC_052520.2_prot_XP_016023547.1_1080,99.408,168.6,845.4,0.0544,0.0024,0.0440
NC_045949.1_prot_XP_002037956.2_1059,NC_052520.2_prot_XP_016023605.1_1181,98.624,248.1,1059.9,0.2786,0.0057,0.0206
NC_045949.1_prot_XP_032572771.1_1061,NC_052520.2_prot_XP_002078244.1_1183,98.340,165.0,558.0,0.0839,0.0072,0.0862
NC_045949.1_prot_XP_002037958.1_1063,NC_052520.2_prot_XP_016023608.1_1185,98.532,316.8,1114.2,0.0695,0.0064,0.0924
NC_045949.1_prot_XP_002038105.2_1267,NC_052520.2_prot_XP_002078380.2_1402,100.000,194.6,723.4,0.0010,0.0001,0.0632
NC_045949.1_prot_XP_002035948.1_1280,NC_052520.2_prot_XP_039148812.1_1418,99.324,317.2,1014.8,0.0682,0.0030,0.0443
NC_045949.1_prot_XP_002036185.1_1718,NC_052520.2_prot_XP_002078620.1_1906,99.387,289.5,688.5,0.0493,0.0030,0.0612
NC_045949.1_prot_XP_032583143.1_1804,NC_052520.2_prot_XP_002078681.1_1988,98.592,406.5,871.5,0.0952,0.0070,0.0740
NC_045949.1_prot_XP_002036260.1_1820,NC_052520.2_prot_XP_002078695.1_2003,100.000,150.8,506.2,0.0010,0.0000,0.0330
NC_045949.1_prot_XP_002036297.1_1879,NC_052520.2_prot_XP_002078735.1_2066,100.000,268.0,1064.0,0.0010,0.0001,0.1037
NC_045949.1_prot_XP_002036365.1_1977,NC_052520.2_prot_XP_002078802.1_2175,99.522,364.8,1516.2,0.0212,0.0020,0.0940
NC_045949.1_prot_XP_002036388.1_2011,NC_052520.2_prot_XP_002078825.2_2213,100.000,107.5,492.5,0.0010,0.0001,0.0796
NC_045949.1_prot_XP_032572530.1_2053,NC_052520.2_prot_XP_016024396.1_2256,99.041,309.7,941.3,0.1334,0.0043,0.0324
NC_045949.1_prot_XP_032583343.1_2155,NC_052520.2_prot_XP_002078922.1_2366,98.465,336.5,833.5,0.0910,0.0061,0.0669
NC_045949.1_prot_XP_002036508.1_2190,NC_052520.2_prot_XP_016024505.1_2402,100.000,146.0,631.0,0.0010,0.0000,0.0482
NC_045949.1_prot_XP_002036565.1_2263,NC_052520.2_prot_XP_002079006.1_2478,98.025,318.9,896.1,0.1124,0.0091,0.0811
NC_045949.1_prot_XP_002036643.1_2359,NC_052520.2_prot_XP_002079084.1_2586,99.020,152.7,459.3,0.1113,0.0045,0.0400
NC_045949.1_prot_XP_002036660.1_2396,NC_052520.2_prot_XP_002079104.1_2617,99.194,486.1,1373.9,0.1151,0.0037,0.0319
NC_045949.1_prot_XP_002042003.1_2499,NC_052520.2_prot_XP_016024727.1_2719,99.345,313.4,1060.6,0.0790,0.0029,0.0362
NC_045949.1_prot_XP_002042120.1_2665,NC_052520.2_prot_XP_002079290.2_2891,98.778,281.4,945.6,0.0995,0.0054,0.0548
NC_045949.1_prot_XP_002035874.1_2953,NC_052520.2_prot_XP_002079509.1_3213,99.194,158.6,585.4,0.0344,0.0035,0.1006
NC_045949.1_prot_XP_032583174.1_3165,NC_052520.2_prot_XP_016025200.1_3455,100.000,243.2,1160.8,0.0010,0.0001,0.0590
