prot1,prot2,BLASTidentity,S,N,dNdS,dN,dS
NC_036879.1_cds_XP_016807709.2_43,NC_048239.1_cds_XP_014200116.2_46,100.000,112.1,469.9,0.4426,0.0000,0.0000
NC_036879.1_cds_XP_003307887.1_938,NC_048239.1_cds_XP_034812848.1_711,99.878,266.0,550.0,0.0010,0.0000,0.0036
NC_036879.1_cds_XP_001161661.1_979,NC_048239.1_cds_XP_008965314.1_754,99.854,397.4,970.6,0.4119,0.0011,0.0026
NC_036879.1_cds_XP_016813653.1_1666,NC_048239.1_cds_XP_003828191.1_1444,100.000,206.8,768.2,0.4116,0.0000,0.0000
NC_036879.1_cds_NP_001233382.1_2002,NC_048239.1_cds_XP_003815528.1_1755,99.934,237.3,1265.7,0.0010,0.0000,0.0044
NC_036879.1_cds_XP_513332.1_2007,NC_048239.1_cds_XP_003815527.1_1762,100.000,114.3,644.7,64.9991,0.0000,0.0000
NC_036879.1_cds_XP_513352.2_2107,NC_048239.1_cds_XP_034818111.1_1853,100.000,338.3,1086.7,0.4490,0.0000,0.0000
NC_036879.1_cds_XP_009454073.1_2417,NC_048239.1_cds_XP_008963542.1_2101,100.000,303.6,1097.4,0.3431,0.0000,0.0000
NC_036879.1_cds_XP_001168438.1_3304,NC_048239.1_cds_XP_003807837.2_2946,100.000,217.5,967.5,0.0010,0.0000,0.0000
NC_036879.1_cds_XP_009424724.1_3853,NC_048239.1_cds_XP_008958822.1_3451,100.000,184.5,667.5,0.0010,0.0000,0.0000
NC_036879.1_cds_XP_009428831.1_4538,NC_048239.1_cds_XP_003817370.1_4061,100.000,504.3,767.7,99.0000,0.0000,0.0000
NC_036879.1_cds_XP_009428583.1_4591,NC_048239.1_cds_XP_034790543.1_4107,100.000,408.2,1235.8,0.4151,0.0000,0.0000
NC_036879.1_cds_XP_513795.1_4747,NC_048239.1_cds_XP_003817300.1_4260,99.874,179.0,613.0,99.0000,0.0016,0.0000
NC_036879.1_cds_XP_016802626.1_5177,NC_048239.1_cds_XP_008972843.1_4682,99.913,265.2,928.8,0.4042,0.0182,0.0451
NC_036879.1_cds_NP_001233402.1_5538,NC_048239.1_cds_XP_003811943.1_4978,100.000,455.4,813.6,99.0000,0.0000,0.0000
NC_036879.1_cds_XP_513978.3_5882,NC_048239.1_cds_XP_003824658.1_5281,100.000,192.3,623.7,0.3714,0.0000,0.0000
NC_036879.1_cds_XP_001167188.1_6416,NC_048239.1_cds_XP_003820649.1_5761,99.812,331.7,1261.3,0.0010,0.0000,0.0096
NC_036879.1_cds_XP_016792604.1_6790,NC_048239.1_cds_XP_003823006.1_6110,100.000,373.5,1126.5,0.4606,0.0000,0.0000
NC_036879.1_cds_XP_525053.2_6988,NC_048239.1_cds_XP_003814262.1_6287,99.692,686.7,1581.3,1.0895,0.0032,0.0029
NC_036879.1_cds_XP_514253.3_7437,NC_048239.1_cds_XP_034804332.1_6694,100.000,245.3,822.7,99.0000,0.0000,0.0000
NC_036880.1_cds_XP_525723.4_8615,NC_048240.1_cds_XP_003827163.3_7746,99.743,343.4,820.6,0.8152,0.0025,0.0030
NC_036880.1_cds_NP_001267025.1_8697,NC_048240.1_cds_XP_034808774.1_7813,99.888,282.1,608.9,0.0010,0.0000,0.0036
NC_036880.1_cds_XP_009440577.3_8809,NC_048240.1_cds_XP_034808832.1_7909,99.867,969.2,2024.8,1.4988,0.0015,0.0010
NC_036880.1_cds_XP_024210064.1_8811,NC_048240.1_cds_XP_003817699.2_7910,99.774,357.7,965.3,0.1779,0.0010,0.0058
NC_036880.1_cds_XP_003309093.3_9455,NC_048240.1_cds_XP_034809182.1_8446,99.868,247.9,508.1,0.0010,0.0000,0.0040
NC_036880.1_cds_XP_009441045.1_9905,NC_048240.1_cds_XP_034809366.1_8847,99.882,321.0,1374.0,0.0010,0.0000,0.0064
NC_036880.1_cds_XP_016804589.1_10454,NC_048240.1_cds_XP_024783537.1_9175,99.831,912.4,2627.6,0.3345,0.0011,0.0034
