#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.			/#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.__cds_from_genomic.fna.gz
# assembly_accession	organism_name	species_taxid	ftp_path/# assembly_accession_asm_name_cds_from_genomic.fna.gz
GCF_000002945.1	Schizosaccharomyces pombe	4896	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.1_ASM294v2/GCF_000002945.1_ASM294v2_cds_from_genomic.fna.gz
GCF_003054445.1	Pichia kudriavzevii	4909	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/445/GCF_003054445.1_ASM305444v1/GCF_003054445.1_ASM305444v1_cds_from_genomic.fna.gz
GCF_000243375.1	Torulaspora delbrueckii	4950	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/375/GCF_000243375.1_ASM24337v1/GCF_000243375.1_ASM24337v1_cds_from_genomic.fna.gz
GCF_000026365.1	Zygosaccharomyces rouxii	4956	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/365/GCF_000026365.1_ASM2636v1/GCF_000026365.1_ASM2636v1_cds_from_genomic.fna.gz
GCF_002102565.1	Kockovaella imperatae	4999	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/565/GCF_002102565.1_Kocim1/GCF_002102565.1_Kocim1_cds_from_genomic.fna.gz
GCF_011074885.1	Brettanomyces bruxellensis	5007	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/074/885/GCF_011074885.1_ASM1107488v2/GCF_011074885.1_ASM1107488v2_cds_from_genomic.fna.gz
GCF_013340325.1	Aspergillus tubingensis	5068	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/340/325/GCF_013340325.1_ASM1334032v1/GCF_013340325.1_ASM1334032v1_cds_from_genomic.fna.gz
GCF_001561935.1	Penicillium griseofulvum	5078	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/561/935/GCF_001561935.1_ASM156193v1/GCF_001561935.1_ASM156193v1_cds_from_genomic.fna.gz
GCF_015533775.1	Penicillium roqueforti	5082	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/533/775/GCF_015533775.1_ASM1553377v1/GCF_015533775.1_ASM1553377v1_cds_from_genomic.fna.gz
GCF_021052385.1	Filobasidium floriforme	5210	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/052/385/GCF_021052385.1_Filflo1/GCF_021052385.1_Filflo1_cds_from_genomic.fna.gz
GCF_014466165.1	Pleurotus ostreatus	5322	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/466/165/GCF_014466165.1_ASM1446616v1/GCF_014466165.1_ASM1446616v1_cds_from_genomic.fna.gz
GCF_021015755.1	Lentinula edodes	5353	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/015/755/GCF_021015755.1_Lenedo1/GCF_021015755.1_Lenedo1_cds_from_genomic.fna.gz
GCF_004011695.1	Ascochyta rabiei	5454	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/011/695/GCF_004011695.1_Arabiei_Me14/GCF_004011695.1_Arabiei_Me14_cds_from_genomic.fna.gz
GCF_014235925.1	Colletotrichum truncatum	5467	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/235/925/GCF_014235925.1_CTRU02/GCF_014235925.1_CTRU02_cds_from_genomic.fna.gz
GCF_000002545.3	[Candida] glabrata	5478	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/545/GCF_000002545.3_ASM254v2/GCF_000002545.3_ASM254v2_cds_from_genomic.fna.gz
GCF_000182765.1	Candida parapsilosis	5480	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/765/GCF_000182765.1_ASM18276v2/GCF_000182765.1_ASM18276v2_cds_from_genomic.fna.gz
GCF_008704595.1	Diutina rugosa	5481	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/595/GCF_008704595.1_ASM870459v1/GCF_008704595.1_ASM870459v1_cds_from_genomic.fna.gz
GCF_001642055.1	Alternaria alternata	5599	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/055/GCF_001642055.1_Altal1/GCF_001642055.1_Altal1_cds_from_genomic.fna.gz
GCF_011074865.1	Brettanomyces nanus	13502	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/074/865/GCF_011074865.1_ASM1107486v2/GCF_011074865.1_ASM1107486v2_cds_from_genomic.fna.gz
GCF_002079055.1	Saccharomyces paradoxus	27291	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/079/055/GCF_002079055.1_ASM207905v1/GCF_002079055.1_ASM207905v1_cds_from_genomic.fna.gz
GCF_000769745.1	Penicillium expansum	27334	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/745/GCF_000769745.1_ASM76974v1/GCF_000769745.1_ASM76974v1_cds_from_genomic.fna.gz
GCF_000002515.2	Kluyveromyces lactis	28985	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/515/GCF_000002515.2_ASM251v1/GCF_000002515.2_ASM251v1_cds_from_genomic.fna.gz
GCF_001653265.1	Purpureocillium lilacinum	33203	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/265/GCF_001653265.1_ASM165326v1/GCF_001653265.1_ASM165326v1_cds_from_genomic.fna.gz
GCF_020623625.1	Saccharomycodes ludwigii	36035	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/623/625/GCF_020623625.1_UHD_SCDLUD_16/GCF_020623625.1_UHD_SCDLUD_16_cds_from_genomic.fna.gz
GCF_019609905.1	Fusarium poae	36050	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/609/905/GCF_019609905.1_ASM1960990v1/GCF_019609905.1_ASM1960990v1_cds_from_genomic.fna.gz
GCF_000988165.1	Nosema ceranae	40302	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/165/GCF_000988165.1_ASM98816v1/GCF_000988165.1_ASM98816v1_cds_from_genomic.fna.gz
GCF_002237265.1	Aspergillus thermomutatus	41047	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/237/265/GCF_002237265.1_ASM223726v2/GCF_002237265.1_ASM223726v2_cds_from_genomic.fna.gz
GCF_002847045.1	Aspergillus candidus	41067	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/847/045/GCF_002847045.1_Aspcand1/GCF_002847045.1_Aspcand1_cds_from_genomic.fna.gz
GCF_013402915.1	Zygotorulaspora mrakii	42260	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/402/915/GCF_013402915.1_ASM1340291v1/GCF_013402915.1_ASM1340291v1_cds_from_genomic.fna.gz
GCF_013396075.1	Fusarium subglutinans	42677	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/396/075/GCF_013396075.1_ASM1339607v1/GCF_013396075.1_ASM1339607v1_cds_from_genomic.fna.gz
GCF_012971845.1	Lasiodiplodia theobromae	45133	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/971/845/GCF_012971845.1_ASM1297184v1/GCF_012971845.1_ASM1297184v1_cds_from_genomic.fna.gz
GCF_001548555.1	Eremothecium sinecaudum	45286	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/555/GCF_001548555.1_ASM154855v1/GCF_001548555.1_ASM154855v1_cds_from_genomic.fna.gz
GCF_002926055.2	[Candida] haemuloni	45357	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/926/055/GCF_002926055.2_CanHae_1.0/GCF_002926055.2_CanHae_1.0_cds_from_genomic.fna.gz
GCF_019049425.1	Scheffersomyces spartinae	45513	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/049/425/GCF_019049425.1_ASM1904942v1/GCF_019049425.1_ASM1904942v1_cds_from_genomic.fna.gz
GCF_002251995.1	Wickerhamiella sorbophila	45607	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/251/995/GCF_002251995.1_ASM225199v2/GCF_002251995.1_ASM225199v2_cds_from_genomic.fna.gz
GCF_014133895.1	Torulaspora globosa	48254	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/133/895/GCF_014133895.1_ASM1413389v1/GCF_014133895.1_ASM1413389v1_cds_from_genomic.fna.gz
GCF_016758785.1	Suillus bovinus	48563	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/758/785/GCF_016758785.1_Suibov1/GCF_016758785.1_Suibov1_cds_from_genomic.fna.gz
GCF_016628075.1	Suillus paluster	48578	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/628/075/GCF_016628075.1_Suipal1/GCF_016628075.1_Suipal1_cds_from_genomic.fna.gz
GCF_016647625.1	Suillus subalutaceus	48586	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/647/625/GCF_016647625.1_Suisu1/GCF_016647625.1_Suisu1_cds_from_genomic.fna.gz
GCF_016647635.1	Suillus subaureus	48587	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/647/635/GCF_016647635.1_Suisub1/GCF_016647635.1_Suisub1_cds_from_genomic.fna.gz
GCF_020744475.1	Fusarium redolens	48865	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/744/475/GCF_020744475.1_Fusre1/GCF_020744475.1_Fusre1_cds_from_genomic.fna.gz
GCF_900007375.1	Fusarium venenatum	56646	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/007/375/GCF_900007375.1_ASM90000737v1/GCF_900007375.1_ASM90000737v1_cds_from_genomic.fna.gz
GCF_001447935.2	Debaryomyces fabryi	58627	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/935/GCF_001447935.2_debFab1.1/GCF_001447935.2_debFab1.1_cds_from_genomic.fna.gz
GCF_003025115.1	Trichoderma citrinoviride	58853	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/025/115/GCF_003025115.1_Trici_v4.0/GCF_003025115.1_Trici v4.0_cds_from_genomic.fna.gz
GCF_003144115.1	Tilletiopsis washingtonensis	58919	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/144/115/GCF_003144115.1_Tilwa1/GCF_003144115.1_Tilwa1_cds_from_genomic.fna.gz
GCF_002072235.1	Penicillium solitum	60172	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/072/235/GCF_002072235.1_ASM207223v1/GCF_002072235.1_ASM207223v1_cds_from_genomic.fna.gz
GCF_903064755.1	Kazachstania barnettii	61262	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/064/755/GCF_903064755.1_KABA2/GCF_903064755.1_KABA2_cds_from_genomic.fna.gz
