refseq	species	ani	medani	gcaeani	exmani	busco	meanexn	medexn	ebgfr	bgfr	bgwe	bgcov	bpcds	bpexm	cdpc	ref	query
Fungi	Lobosporangium_transversale	99.98491037131883	100.0	99.98780408163266	99.65732978830117	mucoromycota	754.6216389244559	552.5	1573	249	1562	.99300699300699300699	16625258	14474776	.87064970660906435256	GCF_002105155.1_Lobtra1_cds_from_genomic.fna	GCA_015847225.1_UCR_Ltran_NRRL5525_1.0_genomic.fna
Fungi	Nematocida_parisii	99.93469846678025	100.0	99.91859374999997	99.1107520711872	microsporidia	1219.1413969335604	987.0	587	96	583	.99318568994889267461	2936754	3015291	1.02674279153105775968	GCF_000250985.1_Nema_parisii_ERTm1_V3_cds_from_genomic.fna	GCA_000190615.1_Nema_parisii_ERTm3_V1_genomic.fna
Fungi	Encephalitozoon_hellem	98.46446733668337	98.472	98.28435514018696	98.11664237376367	microsporidia	1226.9480737018425	1008.0	597	107	595	.99664991624790619765	1983955	1955915	.98586661491818110793	GCF_000277815.2_ASM27781v3_cds_from_genomic.fna	GCA_018342045.1_Swiss_hellem_version_1_genomic.fna
Fungi	Pseudozyma_hubeiensis	93.510836734694	93.641	92.97146818181815	91.97218901137988	basidiomycota	1565.2466472303206	1257.0	1735	225	1691	.97463976945244956772	12466401	11178862	.89671926965930263273	GCF_000403515.1_ASM40351v1_cds_from_genomic.fna	GCA_001736105.1_ASM173610v1_genomic.fna
Fungi	Pseudozyma_flocculosa	99.99398047099368	100.0	99.99555411255412	99.90158952197336	basidiomycota	1390.391154508903	1021.0	1748	233	1733	.99141876430205949656	12694380	12470354	.98235234804693100411	GCF_000417875.1_Pflocc_1.0_cds_from_genomic.fna	GCA_900322975.1_Pse_flocc_v1_genomic.fna
Fungi	Apiotrichum_porosum	99.04945522208884	99.174	99.12808658008653	98.73429615230907	tremellomycetes	992.9627851140456	711.0	4204	232	4115	.97882968601332064700	13611171	12486522	.91737309008901585322	GCF_003942205.1_ASM394220v1_cds_from_genomic.fna	GCA_001600255.1_JCM_1458_assembly_v001_genomic.fna
Fungi	Cryptococcus_amylolentus	99.82260561016541	100.0	99.87116450216449	99.61083148226741	tremellomycetes	710.3764085351235	550.0	4267	235	4161	.97515819076634637918	15192582	11968658	.78779617579158039100	GCF_001720205.1_Cryp_amyl_CBS6039_V3_cds_from_genomic.fna	GCA_001720235.1_Cryp_amyl_CBS6273_V2_genomic.fna
Fungi	Cryptococcus_wingfieldii	99.98581657223798	100.0	99.99364957264959	99.68819934455173	tremellomycetes	715.9943342776204	551.5	4265	234	4222	.98991793669402110199	11962446	11436892	.95606634295360664532	GCF_001720155.1_Tsuc_wing_CBS7118_V1_cds_from_genomic.fna	GCA_006149155.1_ASM614915v1_genomic.fna
Fungi	Tremella_mesenterica	98.41066028942845	98.926	98.4989825327511	98.24190649314903	tremellomycetes	616.5665930831494	441.0	4139	230	4024	.97221551099299347668	11597360	9467569	.81635553263846254664	GCF_000271645.1_Treme1_cds_from_genomic.fna	GCA_004117975.1_Trem_mese_ATCC28783_V1_genomic.fna
Fungi	Mixia_osmundae	99.99163081395346	100.0	99.99397863247863	99.9513152820702	basidiomycota	882.435465116279	645.0	1725	236	1682	.97507246376811594202	10313178	9670661	.93769941719225635395	GCF_000708205.1_Mixia_osmundae_v1.0_cds_from_genomic.fna	GCA_000241205.2_Mosmundae_2.0_genomic.fna
Fungi	Filobasidium_floriforme	98.43997371134012	99.5495	98.33983928571426	98.43759569378004	tremellomycetes	654.3237113402062	474.0	3935	226	3760	.95552731893265565438	12641775	10618383	.83994399520636935873	GCF_021052385.1_Filflo1_cds_from_genomic.fna	GCA_019201745.1_ASM1920174v1_genomic.fna
Fungi	Coprinopsis_cinerea	99.74749763903476	100.0	99.73956896551726	99.10267662583668	agaricales	661.5081322140609	500.0	3833	233	3787	.98799895643099399947	18539919	17164034	.92578797134982089188	GCF_000182895.1_CC3_cds_from_genomic.fna	GCA_016772295.1_ASM1677229v1_genomic.fna
Fungi	Truncatella_angustata	99.88533932461856	100.0	99.8559318181818	99.50355061445207	sordariomycetes	1324.1535947712418	1080.0	3794	232	3650	.96204533473906167633	20016388	18684070	.93343864037807420599	GCF_020726525.1_Truan1_cds_from_genomic.fna	GCA_021193595.1_ASM2119359v1_genomic.fna
Fungi	Protomyces_lactucae-debilis	99.99759313413861	100.0	99.99827947598253	99.47212709657256	ascomycota	1421.0953591862683	1128.0	1573	230	1561	.99237126509853782581	8214367	8291339	1.00937041162149195427	GCF_002105105.1_Prola1_cds_from_genomic.fna	GCA_003717235.1_ASM371723v1_genomic.fna
Fungi	Thermothielavioides_terrestris	99.41519760319575	100.0	99.3253171806167	98.75940742199481	sordariomycetes	1245.074034620506	987.0	3766	228	3731	.99070631970260223048	13641972	13264110	.97230151183421282494	GCF_000226115.1_ASM22611v1_cds_from_genomic.fna	GCA_900343105.1_Thte_LPH172_genomic.fna
Fungi	Chaetomium_thermophilum	94.13304345479085	94.313	94.34444247787619	93.49001534042644	sordariomycetes	1091.5692307692307	882.0	3756	231	3643	.96991480298189563365	11902701	9349001	.78545205831852787027	GCF_000221225.1_CTHT_3.0_cds_from_genomic.fna	GCA_011800035.1_IMB_SAS_Cthedis_SODCAT_2020_genomic.fna
Fungi	Neurospora_tetrasperma	99.63328792322037	100.0	99.70555652173913	99.49355528565454	sordariomycetes	1358.041055718475	1084.0	3756	231	3718	.98988285410010649627	14562310	14127273	.97012582481762852184	GCF_000213175.1_v2.0_cds_from_genomic.fna	GCA_000213195.1_v1.0_genomic.fna
Fungi	Chaetomium_globosum	95.73424695039331	95.841	95.6607101449275	94.42560854712497	sordariomycetes	1045.1984277582	829.0	3725	211	3645	.97852348993288590604	16464735	14919568	.90615293838619327915	GCF_000143365.1_ASM14336v1_cds_from_genomic.fna	GCA_020726465.1_Chagl1_genomic.fna
Fungi	Sordaria_macrospora	99.99296279683372	100.0	99.99165384615385	99.96039685620953	sordariomycetes	1338.5949868073878	1073.0	3799	235	3775	.99368254803895762042	15233495	14815209	.97254169184418939974	GCF_000182805.2_ASM18280v2_cds_from_genomic.fna	GCA_008692325.1_ASM869232v1_genomic.fna
Fungi	Schizosaccharomyces_japonicus	90.57409786950724	90.551	90.50529629629628	90.42391939871203	ascomycota	1270.979360852197	986.5	1569	226	1488	.94837476099426386233	6846852	6060698	.88518022589067209280	GCF_000149845.2_SJ5_cds_from_genomic.fna	GCA_019702855.1_Sjap_CBS5679_MinION_1.0_genomic.fna
Fungi	Ogataea_philodendri	99.99943032384688	100.0	99.99984112149532	99.92904261333888	saccharomycetes	1588.2993130520117	1288.5	2062	217	1998	.96896217264791464597	9411417	9336911	.99208344503277242948	GCF_020536065.1_ASM2053606v1_cds_from_genomic.fna	GCA_003706115.2_ASM370611v2_genomic.fna
Fungi	[Candida]_duobushaemulonis	99.9915602350637	100.0	99.99153051643191	99.65323907493618	saccharomycetes	1556.3349657198826	1257.0	2042	213	1981	.97012732615083251714	8009927	8023873	1.00174108952553500175	GCF_002926085.2_CanDuoHae_v1.0_cds_from_genomic.fna	GCA_011426315.1_ASM1142631v1_genomic.fna
Fungi	Wickerhamomyces_ciferrii	99.66659423076923	100.0	99.72793333333334	98.76842364097449	saccharomycetes	1402.4331730769231	1159.5	2086	226	2064	.98945349952061361457	9777840	9952602	1.01787327262462875236	GCF_000313485.1_ASM31348v1_cds_from_genomic.fna	GCA_018344405.1_ASM1834440v1_genomic.fna
Fungi	[Candida]_pseudohaemulonii	98.31922504892351	98.472	98.19919907407406	97.7312340934461	saccharomycetes	1616.38698630137	1311.0	2049	217	1974	.96339677891654465592	8157373	8111314	.99435369695611565144	GCF_003013735.1_Cand_pseudohaemulonii_B12108_cds_from_genomic.fna	GCA_002933435.1_UZ153_17_genomic.fna
Fungi	Spathaspora_passalidarum	99.99793522072937	100.0	100.0	99.43496065340908	saccharomycetes	1499.0892514395393	1192.5	2084	223	2079	.99760076775431861804	8101550	8229280	1.01576611882911294752	GCF_000223485.1_Spathaspora_passalidarum_v2.0_cds_from_genomic.fna	GCA_013620965.1_ASM1362096v1_genomic.fna
Fungi	Kazachstania_barnettii	99.97350685579195	100.0	99.96795238095237	99.6953183391004	saccharomycetes	1616.5924349881798	1317.0	2115	210	2108	.99669030732860520094	8049462	8087076	1.00467285888174886719	GCF_903064755.1_KABA2_cds_from_genomic.fna	GCA_903987035.1_KABA1BIS_genomic.fna
Fungi	Debaryomyces_fabryi	99.99934069097888	100.0	99.99984304932735	99.79529518267049	saccharomycetes	1598.8267754318617	1305.0	2084	223	2078	.99712092130518234165	8666083	8689937	1.00275256999038666027	GCF_001447935.2_debFab1.1_cds_from_genomic.fna	GCA_003708665.2_ASM370866v2_genomic.fna
Fungi	Babjeviella_inositovora	99.98908093869728	100.0	99.9933711790393	99.9256287274874	saccharomycetes	1219.0402298850574	1018.0	2088	229	2075	.99377394636015325670	8318668	6604245	.79390654850031279046	GCF_001661335.1_Babin1_cds_from_genomic.fna	GCA_018344385.1_ASM1834438v1_genomic.fna
Fungi	Zygotorulaspora_mrakii	99.99981355932205	100.0	99.99966666666667	99.42501393472682	saccharomycetes	1607.7518832391713	1309.5	2124	213	2121	.99858757062146892655	7580354	7566128	.99812330664240746540	GCF_013402915.1_ASM1340291v1_cds_from_genomic.fna	GCA_003671565.1_ASM367156v1_genomic.fna
Fungi	Lodderomyces_elongisporus	99.75682433758593	99.886	99.69883098591554	97.38969538659362	saccharomycetes	1403.9254170755644	1160.5	2042	213	2025	.99167482859941234084	8866944	9741128	1.09858909676208623850	GCF_000149685.1_ASM14968v1_cds_from_genomic.fna	GCA_013620985.1_ASM1362098v1_genomic.fna
Fungi	Eremothecium_gossypii	99.9083171077504	99.969	99.90207476635517	99.4418861414605	saccharomycetes	1575.352079395085	1288.5	2118	214	2114	.99811142587346553352	7019736	7115095	1.01358441400075444432	GCF_000091025.4_ASM9102v4_cds_from_genomic.fna	GCA_000968835.1_ASM96883v1_genomic.fna
Fungi	Metschnikowia_bicuspidata	84.64340000000001	83.855	83.203125	84.9518833333333	saccharomycetes	711.4785714285714	605.5	2072	219	140	.06756756756756756756	7659242	248825	.03248689622288994132	GCF_001664035.1_Metbi1_cds_from_genomic.fna	GCA_003614695.1_Metbi_SCcomb_genomic.fna
Fungi	Naumovozyma_dairenensis	83.68274468085106	83.008	82.131	84.1465209580838	saccharomycetes	535.1489361702128	459.0	2122	212	47	.02214891611687087653	8624300	79823	.00925559175817167770	GCF_000227115.2_ASM22711v2_cds_from_genomic.fna	GCA_001074275.1_ASM107427v1_genomic.fna
Fungi	Pichia_membranifaciens	89.48347412008258	89.449	89.17700966183574	88.6353011190233	saccharomycetes	1322.8876811594203	1085.0	2050	217	1919	.93609756097560975609	8038984	6700839	.83354301986420174489	GCF_001661235.1_Picme2_cds_from_genomic.fna	GCA_001950575.1_P_membrenifaciens-1.0_genomic.fna
Fungi	Aaosphaeria_arxii	97.60561617873635	97.877	97.64909090909092	97.25200401750755	pleosporales	1106.1095531587057	899.0	6518	232	6398	.98158944461491254986	19190667	17780377	.92651167361718068475	GCF_010015735.1_Aaoar1_cds_from_genomic.fna	GCA_020086995.1_ASM2008699v1_genomic.fna
Fungi	Alternaria_burnsii	99.20217612044836	99.36	99.3151623036649	98.81137682707939	pleosporales	1258.7079831932774	1021.0	6626	234	5331	.80455780259583459100	18429994	15056757	.81697026054376360621	GCF_013036055.1_ASM1303605v1_cds_from_genomic.fna	GCA_021613345.1_ASM2161334v1_genomic.fna
Fungi	Alternaria_atra	99.8537681559959	99.913	99.73502173913045	99.67124395417962	pleosporales	1210.5906648241978	980.0	6540	231	6372	.97431192660550458715	18304822	16822646	.91902811182758291776	GCF_907166805.1_ALTATR162_cds_from_genomic.fna	GCA_004634305.1_ASM463430v1_genomic.fna
Fungi	Bipolaris_oryzae	99.92865397451436	100.0	99.84011587982835	99.82573700656617	pleosporales	1165.0788834951456	948.0	6608	234	6573	.99470338983050847457	16070132	15532999	.96657569458670283479	GCF_000523455.1_Cochliobolus_miyabeanus_v1.0_cds_from_genomic.fna	GCA_001675385.1_ASM167538v1_genomic.fna
Fungi	Exserohilum_turcicum	99.9957786201668	100.0	99.99417167381974	99.6836835679289	pleosporales	1162.1065959059895	943.0	6607	234	6561	.99303768730134705615	15993079	16149121	1.00975684544545800092	GCF_000359705.1_Setospaeria_trucica_Et28A_v1.0_cds_from_genomic.fna	GCA_013390285.1_ASM1339028v1_genomic.fna
Fungi	Bipolaris_zeicola	99.9639033970276	100.0	99.89458441558439	99.87909033492815	pleosporales	1172.6088868668487	957.0	6609	232	6575	.99485550007565441065	16535197	15985628	.96676368597241387568	GCF_000523435.1_Cochliobolus_carbonum_v1.0_cds_from_genomic.fna	GCA_016906865.1_ASM1690686v1_genomic.fna
Fungi	Morchella_sextelata	99.95754556354913	100.0	99.96330084745762	98.38726783651629	ascomycota	940.4592326139089	760.5	1669	237	1661	.99520671060515278609	18172934	22396012	1.23238283922673135774	GCF_020137385.1_ASM2013738v1_cds_from_genomic.fna	GCA_009741755.1_ASM974175v1_genomic.fna
Fungi	Morchella_importuna	99.98252323476163	100.0	99.9932425531915	99.71752186911043	ascomycota	919.5437537718769	727.0	1658	236	1645	.99215922798552472858	15359784	14606436	.95095321652960744760	GCF_003444635.1_ASM344463v2_cds_from_genomic.fna	GCA_003444645.1_M04M24_genomic.fna
Fungi	Grosmannia_clavigera	99.97424281914898	100.0	99.98079017857144	99.91542271367844	sordariomycetes	1030.4744680851063	896.0	3769	225	3672	.97426373043247545768	13620141	13127105	.96380096211926146726	GCF_000143105.1_Sanger-454-IlluminaPA_2.0_cds_from_genomic.fna	GCA_000143125.1_Sanger-454-IlluminaDA_genomic.fna
Fungi	Trichophyton_benhamiae	99.99504461045889	100.0	99.99730275229356	99.9535100663529	onygenales	1227.7284951974386	983.0	4686	218	4644	.99103713188220230473	11831547	11675333	.98679682377967986772	GCF_000151125.1_ASM15112v2_cds_from_genomic.fna	GCA_001858085.1_ASM185808v1_genomic.fna
Fungi	Scedosporium_apiospermum	99.35332171012723	99.573	99.34230150753767	98.96068067115266	sordariomycetes	1215.8635536688903	943.5	3319	204	3177	.95721602892437481169	13745250	12694147	.92352972845164693257	GCF_000732125.1_ScApio1.0_cds_from_genomic.fna	GCA_002158515.1_SaHDO1_v1_genomic.fna
Fungi	Pyricularia_pennisetigena	99.99582924901183	100.0	99.99699568965517	99.74485061115499	sordariomycetes	1385.3549407114624	1122.0	3798	233	3721	.97972617166929963138	16560937	15873942	.95851714187427921499	GCF_004337985.1_ASM433798v1_cds_from_genomic.fna	GCA_003013045.1_ASM301304v1_genomic.fna
Fungi	Gaeumannomyces_tritici	90.5617494199536	90.5745	91.17561792452825	89.5256246478082	sordariomycetes	876.2006960556845	662.0	3784	228	3437	.90829809725158562367	18976687	9298811	.49001235041711970060	GCF_000145635.1_Gae_graminis_V2_cds_from_genomic.fna	GCA_016080095.1_ASM1608009v1_genomic.fna
Fungi	Fusarium_odoratissimum	99.9913933378965	100.0	99.99464069264069	99.94707407680133	hypocreales	1241.5963951631302	1003.0	4478	237	4377	.97744528807503349709	31805343	25512123	.80213324534811650985	GCF_000260195.1_FO_II5_V1_cds_from_genomic.fna	GCA_000350365.1_Foc4_1.0_genomic.fna
Fungi	Geosmithia_morbida	99.99596461782718	100.0	99.98927631578948	99.97618942915035	hypocreales	1307.633930596507	1058.0	4418	229	4354	.98551380715255771842	11866674	11618745	.97910711965290358528	GCF_012550715.1_ASM1255071v1_cds_from_genomic.fna	GCA_900108815.1_ASM90010881v1_genomic.fna
Fungi	Fusarium_musae	99.83139431536225	99.929	99.82966808510643	99.37761439634616	hypocreales	1268.8157004286036	1015.0	4441	236	4416	.99437063724386399459	19128596	18238327	.95345873790214399425	GCF_019915245.1_ASM1991524v1_cds_from_genomic.fna	GCA_013623345.1_ASM1362334v1_genomic.fna
Fungi	Metarhizium_robertsii	99.99132004479284	100.0	99.98733333333334	99.86771481671882	hypocreales	1276.9870100783874	1017.0	4474	230	4451	.99485918641037103263	17245170	16879579	.97880038294780509557	GCF_000187425.2_MAA_2.0_cds_from_genomic.fna	GCA_000591435.1_MR2010_11_27_genomic.fna
